"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
118,Haryana,10,FARIDABAD,GEN,1464501,"KRISHAN PAL",GENERAL,MALE,INC,Hand,615655,"MAHENDER PRATAP SINGH",GENERAL,MALE,INC,Hand,615655,172914,11.81
119,"Himachal Pradesh",1,KANGRA,GEN,1030496,"DR RAJEEV BHARDWAJ",GENERAL,MALE,INC,Hand,380898,"ANAND SHARMA",GENERAL,MALE,INC,Hand,380898,251895,24.44
120,"Himachal Pradesh",2,MANDI,GEN,1010165,"KANGNA RANAUT",GENERAL,MALE,INC,Hand,462267,"VIKRAMADITYA SINGH",GENERAL,MALE,INC,Hand,462267,74755,7.4
121,"Himachal Pradesh",3,HAMIRPUR,GEN,1042085,"ANURAG SINGH THAKUR",GENERAL,MALE,INC,Hand,424711,"SATPAL RAIZADA",GENERAL,MALE,INC,Hand,424711,182357,17.5
122,"Himachal Pradesh",4,SHIMLA,SC,964035,"Suresh Kumar Kashyap",SC,MALE,INC,Hand,428297,"Vinod Sultanpuri",SC,MALE,INC,Hand,428297,91451,9.49
123,Karnataka,1,Chikkodi,GEN,1390485,"PRIYANKA SATISH JARKIHOLI",GENERAL,MALE,BJP,Lotus,622627,"ANNASAHEB SHANKAR JOLLE",GENERAL,MALE,BJP,Lotus,622627,90834,6.53
124,Karnataka,2,Belgaum,GEN,1378163,"JAGADISH SHETTAR",GENERAL,MALE,INC,Hand,583592,"MRINAL R HEBBALKAR",GENERAL,MALE,INC,Hand,583592,178437,12.95
125,Karnataka,3,Bagalkot,GEN,1314141,"GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.",GENERAL,FEMALE,INC,Hand,602640,"SAMYUKTA SHIVANAND PATIL",GENERAL,FEMALE,INC,Hand,602640,68399,5.2
126,Karnataka,4,Bijapur,SC,1288612,"RAMESH JIGAJINAGI",SC,MALE,INC,Hand,595552,"RAJU ALAGUR.",SC,MALE,INC,Hand,595552,77229,5.99
127,Karnataka,5,Gulbarga,SC,1302048,RADHAKRISHNA,SC,MALE,BJP,Lotus,625116,"DR. UMESH G JADHAV",SC,MALE,BJP,Lotus,625116,27205,2.09
128,Karnataka,6,Raichur,ST,1289769,"G. KUMAR NAIK.",ST,MALE,BJP,Lotus,591185,"RAJA AMARESHWARA NAIK.",ST,MALE,BJP,Lotus,591185,79781,6.19
129,Karnataka,7,Bidar,GEN,1237636,"SAGAR ESHWAR KHANDRE",GENERAL,MALE,BJP,Lotus,537442,"BHAGWANTH KHUBA",GENERAL,MALE,BJP,Lotus,537442,128875,10.41
130,Karnataka,8,Koppal,GEN,1325417,"K. RAJASHEKAR BASAVARAJ HITNAL",GENERAL,MALE,BJP,Lotus,617154,"DR . BASAVARAJ. K. SHARANAPPA",GENERAL,MALE,BJP,Lotus,617154,46357,3.5
131,Karnataka,9,Bellary,ST,1382025,"E. TUKARAM",ST,MALE,BJP,Lotus,631853,"B. SREERAMULU",ST,MALE,BJP,Lotus,631853,98992,7.16
132,Karnataka,10,Haveri,GEN,1384947,"BASAVARAJ BOMMAI",GENERAL,MALE,INC,Hand,662025,"ANANDSWAMY GADDADEVARMATH",GENERAL,MALE,INC,Hand,662025,43513,3.14
133,Karnataka,11,Dharwad,GEN,1360344,"PRALHAD JOSHI",GENERAL,MALE,INC,Hand,618907,"VINOD ASOOTI",GENERAL,MALE,INC,Hand,618907,97324,7.15
134,Karnataka,12,"Uttara Kannada",GEN,1252585,"VISHWESHWAR HEGDE KAGERI",GENERAL,FEMALE,INC,Hand,445067,"DR. ANJALI NIMBALKAR",GENERAL,FEMALE,INC,Hand,445067,337428,26.94
135,Karnataka,13,Davanagere,GEN,1317192,"DR. PRABHA MALLIKARJUN",GENERAL,FEMALE,BJP,Lotus,606965,"GAYITHRI SIDDESHWARA",GENERAL,FEMALE,BJP,Lotus,606965,26094,1.98
136,Karnataka,14,Shimoga,GEN,1372892,B.Y.RAGHAVENDRA,GENERAL,FEMALE,INC,Hand,535006,"GEETHA SHIVARAJKUMAR",GENERAL,FEMALE,INC,Hand,535006,243715,17.75
137,Karnataka,15,"Udupi Chikmagalur",GEN,1218149,"KOTA SRINIVAS POOJARY",GENERAL,MALE,INC,Hand,473059,"K. JAYAPRAKASH HEGDE",GENERAL,MALE,INC,Hand,473059,259175,21.28
138,Karnataka,16,Hassan,GEN,1346466,"SHREYAS. M. PATEL",GENERAL,MALE,JD(S),"A lady farmer carrying paddy on her head",630339,"PRAJWAL REVANNA",GENERAL,MALE,JD(S),"A lady farmer carrying paddy on her head",630339,42649,3.17
139,Karnataka,17,"Dakshina Kannada",GEN,1392194,"CAPTAIN BRIJESH CHOWTA",GENERAL,MALE,INC,Hand,614924,PADMARAJ.R.POOJARY,GENERAL,MALE,INC,Hand,614924,149208,10.72
140,Karnataka,18,Chitradurga,SC,1363719,"GOVIND MAKTHAPPA KARJOL",SC,MALE,INC,Hand,636769,B.N.CHANDRAPPA,SC,MALE,INC,Hand,636769,48121,3.53
141,Karnataka,19,Tumkur,GEN,1296991,"V. SOMANNA",GENERAL,MALE,INC,Hand,545352,"S.P. MUDDAHANUMEGOWDA",GENERAL,MALE,INC,Hand,545352,175594,13.54
142,Karnataka,20,Mandya,GEN,1452531,"H.D. KUMARASWAMY",GENERAL,MALE,INC,Hand,567261,"VENKATARAMANE GOWDA (STAR CHANDRU)",GENERAL,MALE,INC,Hand,567261,284620,19.59
143,Karnataka,21,Mysore,GEN,1479983,"YADUVEER KRISHNADATTA CHAMARAJA WADIYAR",GENERAL,MALE,INC,Hand,656241,"M. LAKSHMANA",GENERAL,MALE,INC,Hand,656241,139262,9.41
144,Karnataka,22,Chamarajanagar,SC,1361654,"SUNIL BOSE",SC,MALE,BJP,Lotus,562965,BALARAJ.S,SC,MALE,BJP,Lotus,562965,188706,13.86
145,Karnataka,23,"Bangalore Rural",GEN,1908891,"DR C N MANJUNATH",GENERAL,MALE,INC,Hand,809355,"D K SURESH",GENERAL,MALE,INC,Hand,809355,269647,14.13
146,Karnataka,24,"Bangalore North",GEN,1738950,"SHOBHA KARANDLAJE",GENERAL,MALE,INC,Hand,726573,"PROFESSOR M.V RAJEEV GOWDA",GENERAL,MALE,INC,Hand,726573,259476,14.92
147,Karnataka,25,"Bangalore central",GEN,1304384,"P C MOHAN",GENERAL,MALE,INC,Hand,626208,"MANSOOR ALI KHAN",GENERAL,MALE,INC,Hand,626208,32707,2.51
148,Karnataka,26,"Bangalore South",GEN,1241485,"TEJASVI SURYA",GENERAL,FEMALE,INC,Hand,473747,"SOWMYA REDDY",GENERAL,FEMALE,INC,Hand,473747,277083,22.32
149,Karnataka,27,Chikkballapur,GEN,1524224,DR.K.SUDHAKAR,GENERAL,MALE,INC,Hand,659159,"M.S. RAKSHA RAMAIAH",GENERAL,MALE,INC,Hand,659159,163460,10.72
150,Karnataka,28,Kolar,SC,1349397,"M. MALLESH BABU",SC,MALE,INC,Hand,620093,"K V GOWTHAM",SC,MALE,INC,Hand,620093,71388,5.29
151,Kerala,1,Kasaragod,GEN,1105434,"RAJMOHAN UNNITHAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",390010,"M.V BALAKRISHNAN MASTER",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",390010,100649,9.1
152,Kerala,2,Kannur,GEN,1054982,"K. SUDHAKARAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",409542,"M.V. JAYARAJAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",409542,108982,10.33
153,Kerala,3,Vadakara,GEN,1120038,"SHAFI PARAMBIL",GENERAL,FEMALE,CPI(M),"Hammer, Sickle and Star",443022,"K K SHAILAJA TEACHER",GENERAL,FEMALE,CPI(M),"Hammer, Sickle and Star",443022,114506,10.22
154,Kerala,4,Wayanad,GEN,1077654,"RAHUL GANDHI",GENERAL,FEMALE,CPI,"Ears of corn and sickle",283023,"ANNIE RAJA",GENERAL,FEMALE,CPI,"Ears of corn and sickle",283023,364422,33.82
155,Kerala,5,Kozhikode,GEN,1083734,"M. K. RAGHAVAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",374245,"ELAMARAM KAREEM",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",374245,146176,13.49
156,Kerala,6,Malappuram,GEN,1078416,"E.T. MOHAMMED BASHEER",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",343888,"V. VASEEF",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",343888,300118,27.83
157,Kerala,7,Ponnani,GEN,1019735,"DR. M.P ABDUSSAMAD SAMADANI",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",326756,"K.S HAMZA",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",326756,235760,23.12
158,Kerala,8,Palakkad,GEN,1027043,"V K SREEKANDAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",345886,"A VIJAYARAGHAVAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",345886,75283,7.33
159,Kerala,9,Alathur,SC,980235,K.RADHAKRISHNAN,SC,FEMALE,INC,Hand,383336,"RAMYA HARIDAS",SC,FEMALE,INC,Hand,383336,20111,2.05
160,Kerala,10,Thrissur,GEN,1084804,"SURESH GOPI",GENERAL,MALE,CPI,"Ears of corn and sickle",337652,"ADV V S SUNILKUMAR",GENERAL,MALE,CPI,"Ears of corn and sickle",337652,74686,6.88
161,Kerala,11,Chalakudy,GEN,943224,"BENNY BEHANAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",330417,"PROF C RAVEENDRANATH",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",330417,63754,6.76
162,Kerala,12,Ernakulam,GEN,902744,"HIBI EDEN",GENERAL,FEMALE,CPI(M),"Hammer, Sickle and Star",231932,"K. J. SHINE TEACHER",GENERAL,FEMALE,CPI(M),"Hammer, Sickle and Star",231932,250385,27.74
163,Kerala,13,Idukki,GEN,831138,"ADV. DEAN KURIAKOSE",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",298645,"ADV. JOICE GEORGE",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",298645,133727,16.09
164,Kerala,14,Kottayam,GEN,824290,"ADV K FRANCIS GEORGE",GENERAL,MALE,KEC(M),"Two leaves",277365,"THOMAS CHAZHIKADAN",GENERAL,MALE,KEC(M),"Two leaves",277365,87266,10.59
165,Kerala,15,Alappuzha,GEN,1051338,"K. C VENUGOPAL",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",341047,"A. M ARIFF",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",341047,63513,6.04
166,Kerala,16,Mavelikkara,SC,885088,"KODIKUNNIL SURESH",SC,MALE,CPI,"Ears of corn and sickle",358648,"ADV ARUN KUMAR C A",SC,MALE,CPI,"Ears of corn and sickle",358648,10868,1.23
167,Kerala,17,Pathanamthitta,GEN,911158,"ANTO ANTONY",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",301504,"DR.T.M.THOMAS ISSAC",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",301504,66119,7.26
168,Kerala,18,Kollam,GEN,909145,"N K PREMACHANDRAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",293326,"M MUKESH",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",293326,150302,16.53
169,Kerala,19,Attingal,GEN,975550,"ADOOR PRAKASH",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",327367,"V JOY",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",327367,684,0.07
170,Kerala,20,Thiruvananthapuram,GEN,956230,"SHASHI THAROOR",GENERAL,MALE,BJP,Lotus,342078,"RAJEEV CHANDRASEKHAR",GENERAL,MALE,BJP,Lotus,342078,16077,1.68
171,"Madhya Pradesh",1,MORENA,GEN,1182417,"SHIVMANGAL SINGH TOMAR",GENERAL,MALE,INC,Hand,462947,"NEETU SATYAPAL SINGH SIKARWAR",GENERAL,MALE,INC,Hand,462947,52530,4.44
172,"Madhya Pradesh",2,BHIND,SC,1042473,"SANDHYA RAY",SC,MALE,INC,Hand,472225,"PHOOL SINGH BARAIYA",SC,MALE,INC,Hand,472225,64840,6.22
173,"Madhya Pradesh",3,GWALIOR,GEN,1339888,"BHARAT SINGH KUSHWAH",GENERAL,MALE,INC,Hand,601325,"PRAVEEN PATHAK",GENERAL,MALE,INC,Hand,601325,70210,5.24
174,"Madhya Pradesh",4,GUNA,GEN,1364677,"JYOTIRADITYA M. SCINDIA",GENERAL,MALE,INC,Hand,382373,"YADVENDRA RAO DESHRAJ SINGH",GENERAL,MALE,INC,Hand,382373,540929,39.64
175,"Madhya Pradesh",5,SAGAR,GEN,1142892,"DR. LATA WANKHEDE",GENERAL,MALE,INC,Hand,316757,"CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA'",GENERAL,MALE,INC,Hand,316757,471222,41.23
176,"Madhya Pradesh",6,TIKAMGARH,SC,1085559,"DR. VIRENDRA KUMAR",SC,MALE,INC,Hand,311738,"KHUMAN URF PANKAJ AHIRWAR",SC,MALE,INC,Hand,311738,403312,37.15
177,"Madhya Pradesh",7,DAMOH,GEN,1081111,"RAHUL SINGH LODHI",GENERAL,MALE,INC,Hand,303342,"TARBAR SINGH LODHI (BANTU BHAIYA)",GENERAL,MALE,INC,Hand,303342,406426,37.59
178,"Madhya Pradesh",8,KHAJURAHO,GEN,1124413,"VISHNU DATT SHARMA (V.D.SHARMA)",GENERAL,MALE,BSP,Elephant,231545,"KAMLESH KUMAR",GENERAL,MALE,BSP,Elephant,231545,541229,48.13
179,"Madhya Pradesh",9,SATNA,GEN,1056419,"GANESH SINGH",GENERAL,MALE,INC,Hand,374779,"DABBU SIDDHARTH SUKHLAL KUSHWAHA",GENERAL,MALE,INC,Hand,374779,84949,8.04
180,"Madhya Pradesh",10,REWA,GEN,911193,"JANARDAN MISHRA",GENERAL,FEMALE,INC,Hand,284085,"NEELAM ABHAY MISHRA",GENERAL,FEMALE,INC,Hand,284085,193374,21.22
181,"Madhya Pradesh",11,SIDHI,GEN,1143048,"DR. RAJESH MISHRA",GENERAL,MALE,INC,Hand,377143,"KAMLESHWAR INDRAJIT KUMAR",GENERAL,MALE,INC,Hand,377143,206416,18.06
182,"Madhya Pradesh",12,SHAHDOL,ST,1132652,"SMT. HIMADRI SINGH",ST,MALE,INC,Hand,313803,"PHUNDE LAL SINGH MARKO",ST,MALE,INC,Hand,313803,397340,35.08
183,"Madhya Pradesh",13,JABALPUR,GEN,1153559,"ASHISH DUBEY",GENERAL,MALE,INC,Hand,303459,"DINESH YADAV",GENERAL,MALE,INC,Hand,303459,486674,42.19
184,"Madhya Pradesh",14,MANDLA,ST,1516711,"FAGGAN SINGH KULASTE",ST,MALE,INC,Hand,647529,"OMKAR SINGH MARKAM",ST,MALE,INC,Hand,647529,103846,6.85
185,"Madhya Pradesh",15,BALAGHAT,GEN,1370770,"BHARTI PARDHI",GENERAL,MALE,INC,Hand,538148,"SAMRAT ASHOK SINGH SARASWAR",GENERAL,MALE,INC,Hand,538148,174512,12.73
186,"Madhya Pradesh",16,CHHINDWARA,GEN,1294924,"BUNTY VIVEK SAHU",GENERAL,MALE,INC,Hand,531120,"NAKUL KAMALNATH",GENERAL,MALE,INC,Hand,531120,113618,8.77
187,"Madhya Pradesh",17,HOSHANGABAD,GEN,1234751,"DARSHAN SINGH CHOUDHARY",GENERAL,MALE,INC,Hand,380451,"SANJAY SHARMA SANJU BHAIYA",GENERAL,MALE,INC,Hand,380451,431696,34.96
188,"Madhya Pradesh",18,VIDISHA,GEN,1446378,"SHIVRAJ SINGH CHOUHAN",GENERAL,MALE,INC,Hand,295052,"PRATAPBHANU SHARMA",GENERAL,MALE,INC,Hand,295052,821408,56.79
189,"Madhya Pradesh",19,BHOPAL,GEN,1491664,"ALOK SHARMA",GENERAL,MALE,INC,Hand,479610,"ADVOCATE ARUN SHRIVASTAVA",GENERAL,MALE,INC,Hand,479610,501499,33.62
190,"Madhya Pradesh",20,RAJGARH,GEN,1421737,"RODMAL NAGAR",GENERAL,MALE,INC,Hand,612654,"DIGVIJAYA SINGH",GENERAL,MALE,INC,Hand,612654,146089,10.28
191,"Madhya Pradesh",21,DEWAS,SC,1458715,"MAHENDRA SINGH SOLANKY",SC,MALE,INC,Hand,503716,"RAJENDRA RADHAKISHAN MALVIYA",SC,MALE,INC,Hand,503716,425225,29.15
192,"Madhya Pradesh",22,UJJAIN,SC,1319248,"ANIL FIROJIYA",SC,MALE,INC,Hand,460244,"MAHESH PARMAR",SC,MALE,INC,Hand,460244,375860,28.49
193,"Madhya Pradesh",23,MANDSOUR,GEN,1421830,"SUDHEER GUPTA",GENERAL,MALE,INC,Hand,445106,"DILIP SINGH GURJAR",GENERAL,MALE,INC,Hand,445106,500655,35.21
194,"Madhya Pradesh",24,RATLAM,ST,1500908,"ANITA NAGARSINGH CHOUHAN",ST,MALE,INC,Hand,588631,"KANTILAL BHURIA",ST,MALE,INC,Hand,588631,207232,13.81
195,"Madhya Pradesh",25,DHAR,ST,1409393,"SAVITRI THAKUR",ST,MALE,INC,Hand,575784,"RADHESHYAM MUVEL",ST,MALE,INC,Hand,575784,218665,15.51
196,"Madhya Pradesh",26,INDORE,GEN,1343294,"SHANKAR LALWANI",SC,MALE,BSP,Elephant,51659,"SANJAY S/O LAKSHMAN SOLANKI",SC,MALE,BSP,Elephant,51659,1175092,87.48
197,"Madhya Pradesh",27,KHARGONE,ST,1540521,"GAJENDRA SINGH PATEL",ST,MALE,INC,Hand,684845,"PORLAL BATHA KHARTE",ST,MALE,INC,Hand,684845,135018,8.76
198,"Madhya Pradesh",28,KHANDWA,GEN,1499703,"GYANESHWAR PATIL",GENERAL,MALE,INC,Hand,592708,"NARENDRA PATEL",GENERAL,MALE,INC,Hand,592708,269971,18
199,"Madhya Pradesh",29,BETUL,ST,1375698,"DURGADAS (D. D.) UIKEY",ST,MALE,INC,Hand,468475,"RAMU TEKAM",ST,MALE,INC,Hand,468475,379761,27.6
200,Maharashtra,1,Nandurbar,ST,1379546,"ADV GOWAAL KAGADA PADAVI",ST,FEMALE,BJP,Lotus,586878,"DR HEENA VIJAYKUMAR GAVIT",ST,FEMALE,BJP,Lotus,586878,159120,11.53
201,Maharashtra,2,Dhule,GEN,1214602,"BACHHAV SHOBHA DINESH",GENERAL,MALE,BJP,Lotus,580035,"BHAMRE SUBHASH RAMRAO",GENERAL,MALE,BJP,Lotus,580035,3831,0.32
202,Maharashtra,3,Jalgaon,GEN,1155634,"SMITA UDAY WAGH",GENERAL,MALE,SHSUBT,"Flaming torch",422834,"KARAN BALASAHEB PATIL - PAWAR",GENERAL,MALE,SHSUBT,"Flaming torch",422834,251594,21.77
203,Maharashtra,4,Raver,GEN,1167566,"KHADSE RAKSHA NIKHIL",GENERAL,MALE,NCPSP,"Man blowing turha",358696,"SHRIRAM DAYARAM PATIL",GENERAL,MALE,NCPSP,"Man blowing turha",358696,272183,23.31
204,Maharashtra,5,Buldhana,GEN,1105710,"JADHAV PRATAPRAO GANPATRAO",GENERAL,MALE,SHSUBT,"Flaming torch",320388,"NARENDRA DAGDU KHEDEKAR",GENERAL,MALE,SHSUBT,"Flaming torch",320388,29479,2.67
205,Maharashtra,6,Akola,GEN,1167289,"ANUP SANJAY DHOTRE",GENERAL,MALE,INC,Hand,416404,"ABHAY KASHINATH PATIL",GENERAL,MALE,INC,Hand,416404,40626,3.48
206,Maharashtra,7,Amravati,SC,1171035,"BALWANT BASWANT WANKHADE",SC,FEMALE,BJP,Lotus,506540,"NAVNEET RAVI RANA",SC,FEMALE,BJP,Lotus,506540,19731,1.68
207,Maharashtra,8,Wardha,GEN,1090378,"AMAR SHARADRAO KALE",GENERAL,MALE,BJP,Lotus,451458,"RAMDAS CHANDRABHAN TADAS",GENERAL,MALE,BJP,Lotus,451458,81648,7.49
208,Maharashtra,9,Ramtek,SC,1244685,"Shyamkumar (Babalu) Daulat Barve",SC,MALE,SHS,"Bow and arrow",536257,"RAJU DEONATH PARVE",SC,MALE,SHS,"Bow and arrow",536257,76768,6.17
209,Maharashtra,10,Nagpur,GEN,1205847,"NITIN JAIRAM GADKARI",GENERAL,MALE,INC,Hand,517424,"VIKAS THAKRE",GENERAL,MALE,INC,Hand,517424,137603,11.41
210,Maharashtra,11,"Bhandara Gondiya",GEN,1224805,"DR. PRASHANT YADAORAO PADOLE",GENERAL,MALE,BJP,Lotus,550033,"SUNIL BABURAO MENDHE",GENERAL,MALE,BJP,Lotus,550033,37380,3.05
211,Maharashtra,12,"Gadchiroli - Chimur",ST,1149783,"DR. KIRSAN NAMDEO",ST,MALE,BJP,Lotus,476096,"ASHOK MAHADEORAO NETE",ST,MALE,BJP,Lotus,476096,141696,12.32
212,Maharashtra,13,Chandrapur,GEN,1230461,"DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU",GENERAL,MALE,BJP,Lotus,458004,"MUNGANTIWAR SUDHIR SACCHIDANAND",GENERAL,MALE,BJP,Lotus,458004,260406,21.16
213,Maharashtra,14,"Yavatmal- Washim",GEN,1216139,"SANJAY UTTAMRAO DESHMUKH",GENERAL,FEMALE,SHS,"Bow and arrow",500334,"RAJSHRITAI HEMANT PATIL (MAHALLE)",GENERAL,FEMALE,SHS,"Bow and arrow",500334,94473,7.77
214,Maharashtra,15,Hingoli,GEN,1156175,"AASHTIKAR PATIL NAGESH BAPURAO",GENERAL,MALE,SHS,"Bow and arrow",383933,"BABURAO KADAM KOHALIKAR",GENERAL,MALE,SHS,"Bow and arrow",383933,108602,9.39
215,Maharashtra,16,Nanded,GEN,1124626,"CHAVAN VASANTRAO BALWANTRAO",GENERAL,MALE,BJP,Lotus,469452,"CHIKHALIKAR PRATAPRAO GOVINDRAO",GENERAL,MALE,BJP,Lotus,469452,59442,5.29
216,Maharashtra,17,Parbhani,GEN,1327791,"JADHAV SANJAY ( BANDU ) HARIBHAU",GENERAL,MALE,RSPS,Whistle,467282,"JANKAR MAHADEV JAGANNATH",GENERAL,MALE,RSPS,Whistle,467282,134061,10.1
217,Maharashtra,18,Jalna,GEN,1359872,"KALYAN VAIJINATHRAO KALE",GENERAL,MALE,BJP,Lotus,497939,"DANVE RAOSAHEB DADARAO",GENERAL,MALE,BJP,Lotus,497939,109958,8.09
218,Maharashtra,19,Aurangabad,GEN,1296424,"BHUMARE SANDIPANRAO ASARAM",GENERAL,MALE,AIMIM,Kite,341480,"IMTIAZ JALEEL SYED",GENERAL,MALE,AIMIM,Kite,341480,134650,10.39
219,Maharashtra,20,Dindori,ST,1232664,"BHASKAR MURLIDHAR BHAGARE",ST,FEMALE,BJP,Lotus,464140,"DR. BHARATI PRAVIN PAWAR",ST,FEMALE,BJP,Lotus,464140,113199,9.18
220,Maharashtra,21,Nashik,GEN,1231019,"RAJABHAU (PARAG) PRAKASH WAJE",GENERAL,MALE,SHS,"Bow and arrow",454728,"GODSE HEMANT TUKARAM",GENERAL,MALE,SHS,"Bow and arrow",454728,162001,13.16
221,Maharashtra,22,Palghar,ST,1352689,"DR. HEMANT VISHNU SAVARA",ST,FEMALE,SHSUBT,"Flaming torch",417938,"BHARTI BHARAT KAMDI",ST,FEMALE,SHSUBT,"Flaming torch",417938,183306,13.55
222,Maharashtra,23,Bhiwandi,GEN,1244052,"BALYA MAMA - SURESH GOPINATH MHATRE",GENERAL,MALE,BJP,Lotus,433343,"KAPIL MORESHWAR PATIL",GENERAL,MALE,BJP,Lotus,433343,66121,5.31
223,Maharashtra,24,Kalyan,GEN,1034050,"DR SHRIKANT EKNATH SHINDE",GENERAL,FEMALE,SHSUBT,"Flaming torch",380492,"VAISHALI DAREKAR - RANE",GENERAL,FEMALE,SHSUBT,"Flaming torch",380492,209144,20.23
224,Maharashtra,25,Thane,GEN,1291167,"NARESH GANPAT MHASKE",GENERAL,MALE,SHSUBT,"Flaming torch",517220,"RAJAN BABURAO VICHARE",GENERAL,MALE,SHSUBT,"Flaming torch",517220,217011,16.81
225,Maharashtra,26,"Mumbai North",GEN,1022147,"PIYUSH GOYAL",GENERAL,MALE,INC,Hand,322538,"BHUSHAN PATIL",GENERAL,MALE,INC,Hand,322538,357608,34.99
226,Maharashtra,27,"Mumbai North West",GEN,939778,"RAVINDRA DATTARAM WAIKAR",GENERAL,MALE,SHSUBT,"Flaming torch",452596,"AMOL GAJANAN KIRTIKAR",GENERAL,MALE,SHSUBT,"Flaming torch",452596,48,0.01
227,Maharashtra,28,"Mumbai North East",GEN,916296,"SANJAY DINA PATIL",GENERAL,MALE,BJP,Lotus,421076,"MIHIR CHANDRAKANT KOTECHA",GENERAL,MALE,BJP,Lotus,421076,29861,3.26
228,Maharashtra,29,"Mumbai North Central",GEN,900813,"GAIKWAD VARSHA EKNATH",GENERAL,MALE,BJP,Lotus,429031,"ADV UJWAL NIKAM",GENERAL,MALE,BJP,Lotus,429031,16514,1.83
229,Maharashtra,30,"Mumbai South Central",GEN,781101,"ANIL YESHWANT DESAI",SC,MALE,SHS,"Bow and arrow",341754,"RAHUL RAMESH SHEWALE",SC,MALE,SHS,"Bow and arrow",341754,53384,6.83
230,Maharashtra,31,"Mumbai South",GEN,759702,"ARVIND GANPAT SAWANT",SC,FEMALE,SHS,"Bow and arrow",342982,"YAMINI YASHWANT JADHAV",SC,FEMALE,SHS,"Bow and arrow",342982,52673,6.93
231,Maharashtra,32,Raigad,GEN,986002,"TATKARE SUNIL DATTATREY",GENERAL,MALE,SHSUBT,"Flaming torch",425568,"ANANT GEETE",GENERAL,MALE,SHSUBT,"Flaming torch",425568,82784,8.4
232,Maharashtra,33,Maval,GEN,1402641,"SHRIRANG APPA CHANDU BARNE",GENERAL,MALE,SHSUBT,"Flaming torch",596217,"SANJOG BHIKU WAGHERE PATIL",GENERAL,MALE,SHSUBT,"Flaming torch",596217,96615,6.89
233,Maharashtra,34,Pune,GEN,1097112,"MURLIDHAR MOHOL",GENERAL,MALE,INC,Hand,461690,"DHANGEKAR RAVINDRA HEMRAJ",GENERAL,MALE,INC,Hand,461690,123038,11.21
234,Maharashtra,35,Baramati,GEN,1403198,"SUPRIYA SULE",GENERAL,FEMALE,NCP,Clock,573979,"SUNETRA AJITDADA PAWAR",GENERAL,FEMALE,NCP,Clock,573979,158333,11.28
235,Maharashtra,36,Shirur,GEN,1364803,"DR. AMOL RAMSING KOLHE",GENERAL,MALE,NCP,Clock,557741,"ADHALRAO SHIVAJI DATTATREY",GENERAL,MALE,NCP,Clock,557741,140951,10.33
236,Maharashtra,37,Ahmednagar,GEN,1322195,"NILESH DNYANDEV LANKE",GENERAL,MALE,BJP,Lotus,595868,"DR. SUJAY RADHAKRISHNA VIKHEPATIL",GENERAL,MALE,BJP,Lotus,595868,28929,2.19
237,Maharashtra,38,Shirdi,SC,1054484,"BHAUSAHEB RAJARAM WAKCHAURE",SC,MALE,SHS,"Bow and arrow",426371,"LOKHANDE SADASHIV KISAN",SC,MALE,SHS,"Bow and arrow",426371,50529,4.79
238,Maharashtra,39,Beed,GEN,1520208,"BAJRANG MANOHAR SONWANE",GENERAL,FEMALE,BJP,Lotus,677397,"PANKAJA GOPINATHRAO MUNDE",GENERAL,FEMALE,BJP,Lotus,677397,6553,0.43
239,Maharashtra,40,Osmanabad,GEN,1276754,"OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR",GENERAL,FEMALE,NCP,Clock,418906,"ARCHANA RANAJAGJITSINH PATIL",GENERAL,FEMALE,NCP,Clock,418906,329846,25.83
