"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
17,"Andhra Pradesh",17,Nandyal,GEN,1393721,"DR BYREDDY SHABARI",GENERAL,MALE,YSRCP,"Ceiling fan",589156,"POCHA BRAHMANANDA REDDY",GENERAL,MALE,YSRCP,"Ceiling fan",589156,111975,8.03
18,"Andhra Pradesh",18,Kurnoolu,GEN,1320269,"BASTIPATI NAGARAJU PANCHALINGALA",GENERAL,MALE,YSRCP,"Ceiling fan",547616,"B Y RAMAIAH",GENERAL,MALE,YSRCP,"Ceiling fan",547616,111298,8.43
19,"Andhra Pradesh",19,Ananthapur,GEN,1431229,"AMBICA G LAKSHMINARAYANA VALMIKI",GENERAL,MALE,YSRCP,"Ceiling fan",579690,"MALAGUNDLA SANKAR NARAYANA",GENERAL,MALE,YSRCP,"Ceiling fan",579690,188555,13.17
20,"Andhra Pradesh",20,Hindupur,GEN,1398368,"B K PARTHASARATHI",GENERAL,FEMALE,YSRCP,"Ceiling fan",593107,"J SHANTHA",GENERAL,FEMALE,YSRCP,"Ceiling fan",593107,132427,9.47
21,"Andhra Pradesh",21,Kadapa,GEN,1305129,"Y. S. AVINASH REDDY",GENERAL,MALE,TDP,Bicycle,542448,"CHADIPIRALLA BHUPESH SUBBARAMI REDDY",GENERAL,MALE,TDP,Bicycle,542448,62695,4.8
22,"Andhra Pradesh",22,Nellore,GEN,1360072,"PRABHAKAR REDDY VEMIREDDY",GENERAL,MALE,YSRCP,"Ceiling fan",520300,"VENUMBAKA VIJAYASAI REDDY",GENERAL,MALE,YSRCP,"Ceiling fan",520300,245902,18.08
23,"Andhra Pradesh",23,Thirupathi,SC,1366452,"GURUMOORTHY MADDILA",SC,MALE,BJP,Lotus,617659,"VARA PRASAD RAO VELAGAPALLI",SC,MALE,BJP,Lotus,617659,14569,1.07
24,"Andhra Pradesh",24,Rajampet,GEN,1321539,"P V MIDHUN REDDY",GENERAL,MALE,BJP,Lotus,568773,"NALLARI KIRAN KUMAR REDDY",GENERAL,MALE,BJP,Lotus,568773,76071,5.76
25,"Andhra Pradesh",25,Chittoor,SC,1406881,"DAGGUMALLA PRASADA RAO",SC,MALE,YSRCP,"Ceiling fan",557592,"REDDEPPA.N .",SC,MALE,YSRCP,"Ceiling fan",557592,220479,15.67
26,"Arunachal Pradesh",1,"Arunachal West",GEN,397508,"KIREN RIJIJU",ST,MALE,INC,Hand,104679,"NABAM TUKI",ST,MALE,INC,Hand,104679,100738,25.34
