"State/Local Body",Income/Expenditure,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
"Madhya Pradesh - Indore","Expenditure *",1293662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madhya Pradesh - Jabalpur",Income,510975,499643,713184,622866,849927,996725,1478718,1229095,1281669,1817314,2724333,2750937,4012910
"Madhya Pradesh - Jabalpur","Expenditure *",536063,506104,684451,646825,766744,938758,926175,1370144,1469472,1631497,2364567,3200903,4180077
"Madhya Pradesh - Ujjain",Income,277900,237100,283200,309000,281200,331400,361900,NA,NA,NA,NA,NA,NA
"Madhya Pradesh - Ujjain","Expenditure *",148000,146000,193000,239700,170000,163100,170100,NA,NA,NA,NA,NA,NA
"Orissa - Bhubneshwar",Income,268918,328413,413722,553838,NA,NA,NA,NA,NA,3473782,4076978,4092272,NA
"Orissa - Bhubneshwar","Expenditure *",242664,241146,178824,208769,NA,NA,NA,NA,NA,3303130,3823377,3672561,NA
"Orissa - Sambalpur",Income,48739,64544,85066,93470,79797,108981,120623,225499,195912,NA,NA,NA,NA
"Orissa - Sambalpur",Expenditure,32443,27657,48581,75372,61060,46282,74422,122510,212178,NA,NA,NA,NA
Puducherry,Income,161044,174919,179279,216615,277978,256398,309917,318380,340977,362000,406579,NA,NA
Puducherry,"Expenditure *",101083,131668,124213,134001,196973,241605,145501,148517,186589,224224,299215,NA,NA
"Punjab - Amritsar",Income,787013,694603,994510,851500,880670,1934069,1043781,1079908,1185513,1436084,1369870,NA,NA
"Punjab - Amritsar","Expenditure *",409456,471261,396102,5840060,421538,624376,256770,371222,282960,1200921,1331546,NA,NA
"Punjab - Jalandhar",Income,756601,800656,740638,893386,NA,NA,NA,1216261,2715047,NA,NA,NA,NA
"Punjab - Jalandhar","Expenditure *",430596,451643,412877,472769,NA,NA,NA,1012723,1241344,NA,NA,NA,NA
"Punjab - Ludhiana",Income,1869979,1860355,1941574,1993944,2060055,2469020,NA,2743583,3062634,4049474,8136924,NA,NA
"Punjab - Ludhiana","Expenditure *",1966559,1934045,1907045,2112179,2291641,2632047,NA,3123841,3441969,3825550,7913000,NA,NA
"Rajasthan - Ajmer",Income,215675,266998,235682,246894,243868,334075,337837,575163,554283,486528,796771,NA,NA
"Rajasthan - Ajmer","Expenditure *",57957,44248,46123,28944,80304,353749,332990,409938,541355,551343,609093,NA,NA
"Rajasthan - Jaipur",Income,1444607,1449201,1416002,1304684,1410953,2065562,NA,NA,NA,5852653,4503135,9809134,10111981
"Rajasthan - Jaipur","Expenditure *",680121,763266,767158,699055,1428724,1700900,NA,NA,NA,5644950,3422379,8657670,9081170
