S.No.,"Division/Seat No.","Name of Member","Lok Sabha",Session,State,Constituency,"Total Sittings","No. of days member signed the register"
224,286,"Shri  Akhilesh  Yadav                                             ",15,3,"Uttar Pradesh                                               ",Kannauj,21,9
225,287,"Shri  Ashok Kumar  Rawat                                             ",15,3,"Uttar Pradesh                                               ",Misrikh,21,13
226,288,"Dr.  Shafiqur Rahman  Barq                                              ",15,3,"Uttar Pradesh                                               ",Sambhal,21,21
227,289,"Shri  Baju Ban  Riyan                                             ",15,3,"Tripura                                                     ","Tripura East",21,12
228,290,"Shri  S.  Semmalai                                          ",15,3,"Tamil Nadu                                                  ",Salem,21,10
229,291,"Shri  Kalyan  Singh                                             ",15,3,"Uttar Pradesh                                               ",Etah,21,5
230,292,"Shri  Brij Bhushan Sharan  Singh                                             ",15,3,"Uttar Pradesh                                               ",Kaiserganj,21,17
231,293,"Shri  Tufani  Saroj                                             ",15,3,"Uttar Pradesh                                               ",Machhlishahr,21,20
232,294,"Shri  Jagdish Singh  Rana                                              ",15,3,"Uttar Pradesh                                               ",Saharanpur,21,7
233,295,"Shri  Vijay Bahadur  Singh                                             ",15,3,"Uttar Pradesh                                               ",Hamirpur,21,15
234,296,"Dr.  Ram Chandra  Dome                                              ",15,3,"West Bengal                                                 ",Bolpur,21,19
235,297,"Shri  Khagen  Das                                               ",15,3,"Tripura                                                     ","Tripura West",21,13
236,298,"Shri  O. S.  Manian                                            ",15,3,"Tamil Nadu                                                  ",Mayiladuthurai,21,4
237,299,"Shri  R.K. Singh  Patel                                             ",15,3,"Uttar Pradesh                                               ",Banda,21,19
238,300,"Smt.  Sushila  Saroj                                             ",15,3,"Uttar Pradesh                                               ",Mohanlalganj,21,14
239,301,"Smt.  Seema  Upadhyay                                          ",15,3,"Uttar Pradesh                                               ","Fatehpur Sikri",21,16
240,302,"  Smt. Tabassum  Hasan  ",15,3,"Uttar Pradesh                                               ",Kairana,21,11
241,303,"Shri  Prabodh  Panda                                             ",15,3,"West Bengal                                                 ",Medinipur,21,21
242,304,"Shri  Bansagopal  Chowdhury                                         ",15,3,"West Bengal                                                 ",Asansol,21,16
243,305,"Shri  P.  Venugopal                                         ",15,3,"Tamil Nadu                                                  ",Tiruvallur,21,5
244,306,"Shri    Bhajan Lal                                        ",15,3,"Haryana                                                     ",Hisar,21,6
245,306,"Shri  C.  Rajendran                                         ",15,3,"Tamil Nadu                                                  ","Chennai South",21,1
246,309,"Shri  S.K. Nurul  Islam                                             ",15,3,"West Bengal                                                 ",Basirhat,21,10
247,310,"Shri    Ramkishun                                         ",15,3,"Uttar Pradesh                                               ",Chandauli,21,14
248,311,"Shri  Rakesh  Sachan                                            ",15,3,"Uttar Pradesh                                               ",Fatehpur,21,18
249,312,"Smt.  Raj Kumari  Chauhan                                           ",15,3,"Uttar Pradesh                                               ",Aligarh,21,16
250,313,"Smt.  Kaisar  Jahan                                             ",15,3,"Uttar Pradesh                                               ",Sitapur,21,6
251,314,"Shri  P.R.  Natarajan                                         ",15,3,"Tamil Nadu                                                  ",Coimbatore,21,18
252,315,"Adv.  A.  Sampath                                           ",15,3,"Kerala                                                      ",Attingal,21,17
253,316,"Shri  Manohar  Tirkey                                            ",15,3,"West Bengal                                                 ",Alipurduars,21,10
254,317,"Shri  M.  Anandan                                           ",15,3,"Tamil Nadu                                                  ",Viluppuram,21,4
255,318,"Shri  Dinesh  Trivedi                                           ",15,3,"West Bengal                                                 ",Barrackpur,21,14
256,319,"Shri  Gobinda Chandra  Naskar                                            ",15,3,"West Bengal                                                 ",Bangaon,21,21
257,320,"Shri  Premdas  Katheria                                          ",15,3,"Uttar Pradesh                                               ",Etawah,21,18
258,321,"Shri  Dharmendra  Yadav                                             ",15,3,"Uttar Pradesh                                               ",Badaun,21,15
259,322,"Shri  Neeraj  Shekhar                                           ",15,3,"Uttar Pradesh                                               ",Ballia,21,17
260,323,"Shri    Gorakhnath  Pandey                                ",15,3,"Uttar Pradesh                                               ","Bhadohi ",21,20
261,324,"Shri  Dhananjay  Singh                                             ",15,3,"Uttar Pradesh                                               ",Jaunpur,21,10
262,325,"Smt.  Susmita  Bauri                                             ",15,3,"West Bengal                                                 ",Bishnupur,21,19
263,326,"Dr.  Anup Kumar  Saha                                              ",15,3,"West Bengal                                                 ","Bardhaman Purba",21,19
264,327,"Shri  Pulin Bihari  Baske                                             ",15,3,"West Bengal                                                 ",Jhargram,21,21
265,328,"Shri  K.  Sugumar                                           ",15,3,"Tamil Nadu                                                  ",Pollachi,21,5
266,329,"Shri  Ambica  Banerjee                                          ",15,3,"West Bengal                                                 ",Howrah,21,20
267,330,"Shri    Suvendu   Adhikari                                ",15,3,"West Bengal                                                 ",Tamluk,21,8
268,331,"Smt.  Usha  Verma                                             ",15,3,"Uttar Pradesh                                               ",Hardoi,21,16
269,332,"Shri  Bal Kumar  Patel                                             ",15,3,"Uttar Pradesh                                               ",Mirzapur,21,21
270,333,"Shri  Rakesh  Pandey                                            ",15,3,"Uttar Pradesh                                               ","Ambedkar Nagar",21,14
271,334,"Shri  Gorakh Prasad  Jaiswal                                           ",15,3,"Uttar Pradesh                                               ",Deoria,21,17
272,335,"Sk.   Saidul  Haque                                             ",15,3,"West Bengal                                                 ",Bardhaman-Durgapur,21,21
273,336,"Shri  Mahendra Kumar  Roy                                               ",15,3,"West Bengal                                                 ",Jalpaiguri,21,21
274,337,"Shri  C.  Sivasami                                          ",15,3,"Tamil Nadu                                                  ",Tiruppur,21,5
275,338,"Smt.  Satabdi  Roy                                               ",15,3,"West Bengal                                                 ",Birbhum,21,8
276,339,"Shri  Tapas  Paul                                              ",15,3,"West Bengal                                                 ",Krishnanagar,21,8
277,340,"Dr.  Sucharu Ranjan  Haldar                                            ",15,3,"West Bengal                                                 ",Ranaghat,21,20
278,341,"Shri  Pakauri  Lal                                               ",15,3,"Uttar Pradesh                                               ",Robertsganj,21,21
279,342,"Shri  Ghanshyam  Anuragi                                           ",15,3,"Uttar Pradesh                                               ",Jalaun,21,20
280,343,"Shri  Kamlesh  Balmiki                                           ",15,3,"Uttar Pradesh                                               ",Bulandshahr,21,10
281,344,"Shri  Arvind Kumar  Chaudhary                                         ",15,3,"Uttar Pradesh                                               ",Basti,21,19
282,345,"Shri  Deoraj Singh  Patel                                             ",15,3,"Madhya Pradesh                                              ",Rewa,21,13
283,346,"Shri  Ramashankar  Rajbhar                                           ",15,3,"Uttar Pradesh                                               ",Salempur,21,18
284,347,"Shri  P. K.  Biju                                              ",15,3,"Kerala                                                      ",Alathur,21,19
285,348,"Shri  M. B.  Rajesh                                            ",15,3,"Kerala                                                      ",Palakkad,21,21
286,349,"Shri  P.  Lingam                                            ",15,3,"Tamil Nadu                                                  ",Tenkasi,21,20
287,350,"Shri  P.  Kumar                                             ",15,3,"Tamil Nadu                                                  ",Tiruchirappalli,21,4
288,352,"Dr.  Ratna  De (Nag)                                          ",15,3,"West Bengal                                                 ",Hooghly,21,17
289,353,"Shri  Kabir  Suman                                             ",15,3,"West Bengal                                                 ",Jadavpur,21,15
290,354,"Shri    Mithlesh Kumar                                    ",15,3,"Uttar Pradesh                                               ",Shahjahanpur,21,14
291,355,"Shri  Yashvir  Singh                                             ",15,3,"Uttar Pradesh                                               ",Nagina,21,17
292,356,"Shri  Radhey Mohan  Singh                                             ",15,3,"Uttar Pradesh                                               ",Ghazipur,21,10
293,357,"Shri  Kapil Muni  Karwariya                                         ",15,3,"Uttar Pradesh                                               ",Phulpur,21,4
294,358,"Shri  Surendra Singh  Nagar                                             ",15,3,"Uttar Pradesh                                               ","Gautam Buddha Nagar",21,9
295,359,"Shri  Kadir  Rana                                              ",15,3,"Uttar Pradesh                                               ",Muzaffarnagar,21,6
296,360,"Shri  Bibhu Prasad  Tarai                                             ",15,3,"Orissa                                                      ",Jagatsinghpur,21,16
297,361,"Shri  Sakti  Mohan   Malik                                     ",15,3,"West Bengal                                                 ",Arambagh,21,20
298,362,"Shri  Prasanta Kumar  Majumdar                                          ",15,3,"West Bengal                                                 ",Balurghat,21,17
299,363,"Shri  Mekapati Rajamohan  Reddy                                             ",15,3,"Andhra Pradesh                                              ",Nellore,21,20
300,364,"Dr.  Tarun  Mondal                                            ",15,3,"West Bengal                                                 ",Joynagar,21,20
301,365,"Shri  Basudeb  Acharia                                           ",15,3,"West Bengal                                                 ",Bankura,21,19
302,366,"Shri  Sharad  Yadav                                             ",15,3,"Bihar                                                       ",Madhepura,21,16
303,367,"Shri  Arjun Charan  Sethi                                             ",15,3,"Orissa                                                      ",Bhadrak,21,21
304,368,"Shri  Anant Gangaram  Geete                                             ",15,3,"Maharashtra                                                 ",Raigad,21,18
305,369,"Shri  Ram Sundar  Das                                               ",15,3,"Bihar                                                       ",Hajipur,21,13
306,370,"Shri  Bhartruhari  Mahtab                                            ",15,3,"Orissa                                                      ",Cuttack,21,17
