"Apex Ministry/Dept/State","Parent of Organisation",org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,"Organisation levels"
"Central Board of Direct Taxes (Income Tax)","JCIT SWM",CIRSW,"CIRCLE SWAIMADHOPUR","INCOME TAX OFFICE","KUMAWAT BHAWAN",SAWAIMADHOPUR,322001,"ASSTT. COMMISSIONER",5
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Hyderabad",CITH2,"COMMISSIONER OF INCOMETAX II","6TH FLOOR","SIGNATURE TOWERS","KONDAPUR  HYDERABAD",500008,"ITO HQRS",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Hyderabad",CITH6,"Commissioner of Income Tax6","Block A  2nd Floor  Income Tax Towers","A.C. Guards  Masab Tank",Hyderabad,500004,"PRINCIPAL CIT6 HYDERABAD",4
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX DEHRADUN",CITHD,"Commissioner of Income Tax, HALDWANI","Income Tax Office","Khurana Compound","Nainital Road  Haldwani",263139,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX SHIMLA",CITHP,"Pr. Commissioner of Income Tax Shimla","RAILWAY BOARD BUILDING  THE MALL",SHIMLA,"HIMACHAL PRADESH",171003,"PR. COMMISSIONER OF INCOME TAX",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX PANCHKULA",CITHR,"Commissioner of Income Tax HISSAR","Aayakar Bhawan",Sector-14,Hissar,125001,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX RANCHI",CITHZ,"COMMISSIONER OF INCOME TAX  HAZARIBAGH","AAYAKAR BHAWAN RAVINDRA PATH HAZARIBAGH-825301",NA,NA,825301,"PR. COMMISSIONER OF INCOME TAX",3
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (EXEMPTION)",CITPT,"CIT EXEMPTIONS PATNA",PATNA,NA,NA,NA,.,3
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (EXEMPTION)",CITPU,"CIT EXEMPTIONS PUNE",PUNE,NA,NA,NA,.,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX PANCHKULA",CITRH,"Commissioner of Income Tax ROHTAK","Aayakar Bhawan","Opp. Mansarovar Park",Rohtak,124001,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX RANCHI",CITRN,"Commissioner of Income tax Ranchi","Office of the Commissioner of Income tax Ranchi Ce","ntral Revenue Building  5A Main Road Ranchi",NA,834001,"Pr. Commissioner of Income Tax",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX RAIPUR",CITRP,"Commissioner of Income Tax Raipur","New C.R. Building","Civil Lines",Raipur,492001,"Pr. CIT Raipur 1",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax, Bhubaneswar",CITSB,"INCOME TAX DEPARTMENT","AAYAKAR BHAWAN",AINTHAPALLI,SAMBALPUR,768004,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","CCIT 5 KOLKATA",CITSL,Pr.CIT-Siliguri,"Aayakar Bhawan  Matigara  Paribahan Nagar",Siliguri-734101,NA,734101,Pr.CIT-Siliguri,NA
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",CITTA,"Commissioner of Income Tax- ITA CBDT","Room No. 157A","North Block","New Delhi",110001,"Commissioner of Income Tax",2
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",CITTD,"COMMISSIONER OF INCOME TAX TDS","CIT TDS DELHI","INCOME TAX OFFICE  DISTRICT","CENTRE  LAXMI NAGAR",110092,CIT,2
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax, Kerala",CITTH,"COMMISSIONER OF INCOME TAX THRISSURE","AAYAKAR BHAWAN","SHAKTAN THAMPURAN NAGAR",THRISSUR,680001,"PRINCIPAL CIT THRISSUR",3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax Int. South",CITTP,"COMMISSIONER OF INCOME TAX ITTP HYDERABAD","5TH FLOOR  AAYAKAR BHAVAN","BASHEERBAGH  OPP LB STADIUM",HYDERABAD,500004,"CIT IT AND TP HYDERABAD",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, HYDERABAD-III",CITTT,"CIT TIRUPATI","Aayakar Bhawan","K T Road",Tirupati,517501,"ITO Headquarters",4
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITTV,"Pr. Commissioner of Income Tax Delhi-V","Aayakar Bhawan","Room No. 309  3rd Floor  C R Building  I P Estate","New Delhi.",110002,"Pr. CIT DELHI 05 NEW DELHI.",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITTX,"Pr. Commissioner of Income Tax Delhi-X","Aayakar Bhawan E-2  Civic Centre New Delhi",NA,NA,110002,"Pr. CIT Delhi 10",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX INDORE",CITU1,"Commissioner of Income Tax UJJAIN","Aayakar Bhawan","Near LIC Office","Bharatpuri  Ujjain",456010,CIT,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX UDAIPUR",CITUD,"Commissioner of Income Tax UDAIPUR","Room No. 301  Aayakar Bhawan","Sub-city Centre  Saveena",Udaipur,313001,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX VISHAKHAPATNAM",CITV1,"Commissioner of Income Tax Vishakhapatnam I","Aayakar Bhawan Dabagardens Vishakhapatnam",NA,NA,530020,PR.CIT,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX VISHAKHAPATNAM",CITV2,"Commissioner of Income Tax Vishakhapatnam II","Aayakar Bhawan DabagardensVisakhapatnam",NA,NA,530020,"Pr. CIT2",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITVI,"Pr. Commissioner of Income Tax Delhi-VI","Room No. 418  Aayakar Bhawan C R Building  I P Est","ate New Delhi",NA,110002,"Pr. CIT 06",3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Hyderabad",CITVJ,"Commissioner of Income Tax VJA","Aayakar Bhavan",NA,Vijayawada,NA,CIT,4
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX ALLAHABAD",CITVN,"Commissioner of Income Tax VARANASI","Aayakar Bhawan","Maqbool Alam Road",Varanasi,221002,PCIT,3
"Central Board of Direct Taxes (Income Tax)","Principal Chief Commissioner of Income Tax, Pune",CITVP,"Commissioner of Income Tax, PUNE-V","PRATYAKSHAKAR BHAVAN",AKURDI,NA,411044,"PCIT 5 PUNE",3
"Central Board of Direct Taxes (Income Tax)","INTERNATIONAL TAXATION RANGE1",CITW2,IT-2,"BO BHAVAN  2ND FLOOR  PUNE","Pune Satara Road Parvati","Sector No 47 Plot No 1",411009,"ITO IT 2  Pune",6
"Central Board of Direct Taxes (Income Tax)","INTERNATIONAL TAXATION RANGE1",CITW4,IT3,"BO BHAVAN","Room No. 218  2nd floor",NA,411037,ITO,6
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITXI,"Pr. Commissioner of Income Tax Delhi-XI","Aayakar Bhawan E-2 tower  civic center New Delhi",NA,NA,110002,"Pr. CIT Delhi 11",3
"Central Board of Direct Taxes (Income Tax)","CCIT INTERNATIONAL TAXATION",CITXN,"CIT INTERNATIONAL TAXATION BANGALORE","BMTC COMPLEX","80 FEET ROAD  6TH BLOCK  KORAMANGALA",BENGALURU,560095,"CIT INTERNATIONAL TAXATION BAN",4
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITXV,"Pr. Commissioner of Income Tax Delhi-XV","Pratyakshakar Bhawan Civic Center  E-2 Block New D",elhi,NA,110002,"Pr. CIT Delhi XV",3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax Int. South",CITIC,"COMMISSIONER OF INCOME TAX IT CHENNAI","401  IV FLOOR  TOWER-1","BSNL BUILDING  NO.16 GREEMS ROAD",CHENNAI,600006,"CIT IT CHENNAI",4
"Central Board of Direct Taxes (Income Tax)","Principal Chief Commissioner of Income Tax, Pune",CITII,"Commissioner of Income Tax, PUNE-II","PMT BUILDING SWARGATE PUNE",NA,NA,411037,"Principal CIT 2 PUNE",3
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",CITIN,"COMMISSIONER OF INCOME TAX-INVESTIGATION","ROOM NO.- 155A  NORTH BLOCK","NORTH BLOCK",CBDT,110001,CIT-INV,2
"Central Board of Direct Taxes (Income Tax)","Principal Chief Commissioner of Income Tax, Pune",CITIP,"Commissioner of Income Tax, PUNE-I","PMT BUILDING  SWARGATE PUNE",NA,NA,411037,Pr.CIT1,3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (Intl. Tax)",CITIT,"CIT IT AND TP","AAYAKAR BHAWAN","110 SHANTI PALLY",KOLKATA,700107,CIT,3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITIV,"Pr. Commissioner of Income Tax Delhi-IV","Room No. 238 A C.R.BLDG. I P Estate NEW DELHI",NA,NA,110002,"ACIT Nodal Officer Grievance",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITIX,"Pr. Commissioner of Income Tax Delhi-IX","Room No-243 C. R. Building  I. P. Estate New Delhi",NA,NA,110002,"Pr. CIT Delhi IX",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX AMRITSAR",CITJ4,"Commissioner of Income Tax, JAMMU","O/o Principal Commissioner of Income Tax","Aayakar Bhawan  Railhead Complex",Jammu,180001,"Pr. Commissioner of Income Tax",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX PANCHKULA",CITJK,JcIt,"bcv cv",cv,xcv,NA,vdvv,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX LUDHIANA",CITJL,"Commissioner of Income Tax JALANDHAR I","C.R. Building Model Town Road New Wing  Jalandhar",NA,NA,144001,"PRINCIPAL CIT 1",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX KOLKATA",CITJP,"CIT JALPAIGURI","CENTRAL REVENUE BUILDING","NAYABASTI  RACE COURCE ROAD",JALPAIGURI,735101,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX RANCHI",CITJR,"COMMISSIONER OF INCOMETAX  JAMSHEDPUR","47  C.H.AREA",JAMSHEDPUR-831001,JHARKHAND,831001,"PR. COMMISSIONER OF INCOME TAX",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",CITJU,"Commissioner of Income Tax Judicial","Room No. 314  Aayakar Bhawan","M.K. Road  New Marine Lines",Mumbai,400020,"CIT Judicial",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax, Kerala",CITK2,"Commissioner of Income Tax, KOCHI-II","C.R. Building","I.S. Press Road",Kochi,682018,"CIT KOCHI II",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX PANCHKULA",CITKL,"Commissioner of Income Tax KARNAL","Aayakar Bhawan Sector-12 Karnal",NA,NA,132001,"ITO HQ Tech",3
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (EXEMPTION)",CITKO,"CIT EXEMPTIONS KOLKATA","Commissioner of Income Tax (Exemptions)  Kolkata","10B  Middilton Road","6th Floor  Kolkata - 700071",700071,"CIT Exemptions Kolkata",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX UDAIPUR",CITKT,"Commissioner of Income Tax KOTA","C.R. Building","Rawat Bhata Road",Kota,324009,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax, Kerala",CITKZ,"COMMISSIONER OF INCOME TAX KOZHIKODE","AAYAKAR BHAWAN","NEW ANNEXE BLDG. NORTH BLOCK","MANANCHIRA KOZHIKODE",673001,"CIT KOZHIKODE",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX KOLKATA",CITLT,"CIT LTU KOLKATA","9TH FLOOR  AAYAKAR BHAWAN POORVA","110 SHANTI PALLY  EM BYPASS",KOLKATA,700107,"CIT LTU",3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Mumbai-V",CITM8,"COMMISSIONER OF INCOME TAX 8 MUMBAI","ROOM NO.214 2ND FLOOR","AAYAKAR BHAVAN",MUMBAI,400020,"COMMISSIONER OF INCOME TAX 8 M",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Mumbai-V",CITM9,"COMMISSIONER OF INCOME TAX 9 MUMBAI","ROOM NO.315 3RD FLOOR","AAYAKAR BHAVAN",MUMBAI,400020,"COMMISSIONER OF INCOME TAX 9 M",4
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BAREILLY",CITMD,"Commissioner of Income Tax MORADABAD","Principal Commissioner of Income Tax","Income Tax Office Near Pili Kothi",Moradabad,244001,PCIT,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX GHAZIABAD",CITMR,"Commissioner of Income Tax MEERUT","AAYKAR BHAWAN  BHAINSALI GROUND  MEERUT",NA,NA,250001,"Pr. CIT",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX BANGALORE",CITMY,"Commissioner of Income Tax MYSORE","No.55/1  Shilpashree","Vidhyaranya Complex","Vishweshwar Nagar  Mysore",570008,"Pr. Commissioner of Income Tax",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX GHAZIABAD",CITMZ,"Commissioner of Income Tax MUZZAFFARNAGAR","AAYKAR BHWAN","MEERUT ROAD",MUZZAFFARNAGAR,251002,PCIT,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX NASHIK",CITN1,"Commissioner of Income Tax NASHIK I","Kendriya Rajaswa Bhawan","Gadkari Chowk  Old Agra Road",Nashik,422002,"PCIT 1 NASHIK",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX NASHIK",CITN2,"Commissioner of Income Tax NASHIK II","2nd Floor  Kendriya Rajaswa Bhawan Gadkari Chowk","Old Agra Road  Nashik",NA,422002,"PCIT 2 NASHIK",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX GHAZIABAD",CITNA,"COMMISSIONER OF INCOME TAX APPEALS 2 NOIDA","AAYAKAR BHAWAN","A-2D  SECTOR-24",NOIDA,201301,"CIT APPEALS 2 NOIDA",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CITOP,"Pr. Commissioner of Income Tax Delhi (CO)","Aayakar Bhawan","C R Building  I P Estate","New Delhi",110002,"The CIT Admin &amp; TPS",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (CCA) (Bihar & Jharkhan",CITP1,"Pr. Commissioner of Income Tax, Patna I","Central Revenue Building","Birchand Patel Marg",Patna-1,800001,"CIT Patna1",3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Hyderabad",CITP2,"PR. COMMISSIONER OF INCOME TAX 2","6TH FLOOR","SIGNATURE TOWERS","KONDAPUR  HYDERABAD",500008,"ITO HQRS",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Hyderabad",CITP3,"PR COMMISSIONER OF INCOME 3","8TH FLOOR SIGNATURE TOWERS KONDAPUR  HYDERABAD",NA,NA,500084,"ITO HQRS",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Hyderabad",CITP5,"PR COMMISSIONER OF INCOME TAX 5","10TH FLOOR SIGNATURE TOWERS  KONDAPUR  HYDERABAD",NA,NA,500008,"ITO HQRS",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Hyderabad",CITP7,"PR COMMISSIONER OF INCOME TAX 7","3RD FLOOR A BLOCK  IT TOWERS  AC GUARDS  MASAB TAN","K  HYDERABAD",NA,500008,"ITO HQRS",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax Inter West",CITPA,"COMMISSIONER OF INCOME TAX ITTP AHEMDABAD","2ND FLOOR NAVJEEVAN TRUST BUILDING","ASHRAM ROAD",AHMEDABAD,380014,"CIT IT TP AHEMDABAD",4
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX PANCHKULA",CITPK,"Commissioner of Income Tax PANCHKULA","Aayakar Bhawan Bay No.43 to 48 Sector-2  Panchkula",NA,NA,NA,Pr.CIT,3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax Inter West",CITPP,"COMMISSIONER OF INCOME TAX ITTP PUNE","B O BHAWAN SECTOR 47 PLOT NO 1 PARVATI  PUNE",NA,NA,411009,"CIT IT TP PUNE",4
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX GHAZIABAD",CITNO,"Commissioner of Income Tax NOIDA","Aaykar Bhawan","A-2D  Sector-24",NOIDA,201301,"Pr. Commissioner of Income Tax",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX LUDHIANA",CJAL2,"Commissioner of Income Tax JALANDHAR II","C.R. Building Model Town Road old wing Wing  Jalan",dhar,NA,144001,"PR. CIT 2",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX JODHPUR",CJDH1,"Commissioner of Income Tax JODHPUR I","Aayakar Bhawan Paota C Road Jodhpur",NA,NA,342010,"Pr. Commissioner of Income Tax I",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX JODHPUR",CJDH2,"Commissioner of Income Tax JODHPUR II","Aayakar Bhawan Paota C Road Jodhpur",NA,NA,342010,"Pr.Comm. of Income Tax II",3
"Central Board of Direct Taxes (Income Tax)","Joint Commissioner of Income Tax Range Bhiwani",CKD01,"CENTRAL BOARD OF DIRECT TAXES","Opposite Jai Hind Hospital","Loharu Road","Charkhi Dadri",127306,I.T.O,5
"Central Board of Direct Taxes (Income Tax)","INTERNATIONAL TAXATION RANGE-KOCHI",CKOIT,"INTERNATIONAL TAXATION CIRCLE-KOCHI","Central Revenue Building  I.S. Press Road",Kochi,NA,682018,DCIT,6
"Central Board of Direct Taxes (Income Tax)","Range 30 New Delhi",CL030,"Circle 30.1","Civic centre New Delhi",NA,NA,NA,"ACIT Cir 30 New Delhi",5
"Central Board of Direct Taxes (Income Tax)","Range 31 New Delhi",CL031,"Circle 31","13th Floor Pratyakshkar Bhavan","Civic Centre",Delhi,NA,"ACIT Circle 31",5
"Central Board of Direct Taxes (Income Tax)","Range 32 New Delhi",CL032,"Circle 32.1","13th Floor","Civic Centre","New Delhi",110002,"ACIT Circle 32.1",5
"Central Board of Direct Taxes (Income Tax)","Range 33 New Delhi",CL033,"CIRCLE 33.1","1305  13th Floor","Civic Centre",Delhi,NA,"ACIT Circle 33.1",5
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 1.1",CL111,"DEPUTY COMMISSIONER OF INCOME TAX C 1.1.1","BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA",BENGALURU,NA,560095,"DCIT C 1.1.1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 1.1",CL112,"DEPUTY COMMISSIONER OF INCOME TAX C 1.1.2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 1.1.2",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 1 MYSORE",CL11M,"DEPUTY COMMISSIONER OF INCOME TAX C 1 1 MYSURU",MYSURU,NA,NA,NA,"DCIT C 1 1 MYSURU",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 1.2",CL121,"DEPUTY COMMISSIONER OF INCOME TAX C 1.2.1","BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA",BENGALURU,NA,560095,"DCIT C 1.2.1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 1.2",CL122,"DEPUTY COMMISSIONER OF iNCOME TAX C 1.2.2","BMTC COMPLEX  80 FEETB ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 1.2.2",6
"Central Board of Direct Taxes (Income Tax)","Pr. Commissioner of Income Tax Delhi-V",CL131,"Assistant Commissioner C13 1","316A  CR Building",NA,NA,NA,DCIT,4
"Central Board of Direct Taxes (Income Tax)","Pr. Commissioner of Income Tax Delhi-V",CL132,"Deputy Commissioner C13 2","316A  CR Building",NA,NA,NA,DCIT,4
"Central Board of Direct Taxes (Income Tax)","Pr. Commissioner of Income Tax Delhi-V",CL141,"Assistant Commissioner C14 1","323. CR Building",NA,NA,NA,ACIT,4
"Central Board of Direct Taxes (Income Tax)","Pr. Commissioner of Income Tax Delhi-V",CL142,"Assistant Commissioner C14 2","R. No. 323  C R Building",NA,NA,NA,ACIT,4
"Central Board of Direct Taxes (Income Tax)","Pr. Commissioner of Income Tax Delhi-V",CL151,"Assistant Commissioner Circle 15 1","R. No. 321  C R Building",NA,NA,NA,ACIT,4
"Central Board of Direct Taxes (Income Tax)","Pr. Commissioner of Income Tax Delhi-V",CL152,"Assistant Commissioner Circle15 1","R. N. 321  C R Building",NA,NA,NA,ACIT,4
"Central Board of Direct Taxes (Income Tax)","ADDL.CIT BALLARI RANGE",CL1BL,"DCIT C 1 BALLARI",BALLARI,NA,NA,NA,"DCIT C 1 BALLARI",6
"Central Board of Direct Taxes (Income Tax)","ADDL CIT R 1 DAVANGERE",CL1DV,"DCIT C 1 DAVANGERE",DAVANGERE,NA,NA,NA,"DCIT C 1 DAVANGERE",6
"Central Board of Direct Taxes (Income Tax)","ADDL.CIT GULBARGA RANGE",CL1GL,"DCIT C 1 GULBARGA",GULBARGA,NA,NA,NA,"DCIT C 1 GULBARGA",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME R 2.3",CL231,"DEPUTY COMMISSIONER OF INCOME TAX C 2.3.1","Room No 612","6TH Floor  aaykar Bhawan",Surat,395001,"DCIT C 2.3.1",5
"Central Board of Direct Taxes (Income Tax)","ADDL.CIT R 2 DAVANGERE",CL2DV,"DCIT C 2 DAVANGERE",DAVANGERE,NA,NA,NA,"DCIT C 2 DAVANGERE",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 3 1",CL311,"DEPUTY COMMISSIONER OF INCOME TAX C 3 1 1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 3 1 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 3 1",CL312,"DEPUTY COMMISSIONER OF INCOME TAX C 3 1 2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 3 1 2",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 3 2",CL321,"DEPUTY COMMISSIONER OF INCOME TAX C 3 2 1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 3 2 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 3 3",CL331,"DEPUTY COMMISSIONER OF INCOME TAX C 3 3 1","HMT BHAVAN","BELLARY ROAD",GANGANAGAR,560032,"ACIT C 3 3 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 4 1",CL411,"DEPUTY COMMISSIONER OF INCOME TAX C 4 1 1","BMTC COMPLEX  80 FET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 4 1 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 4 1",CL412,"DEPUTY COMMISSIONER OF INCOME TAX C 4 1 2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 4 1 2",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 4 2",CL421,"DEPUTY COMMISSIONER OF INCOME TAX C 4 2 1","BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA",BENGALURU,NA,560095,"ACIT C 4 2 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 4 3",CL431,"DEPUTY COMMISSIONER OF INCOME TAX C 4 3 1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 4 3 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 5 1",CL511,"DEPUTY COMMISSIONER OF INCOME TAX C 5 1 1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"ACIT C 5 1 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 5 1",CL512,"DEPUTY COMMISSIONER OF INCOME TAX C 5 1 2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 5 1 2",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 5 2",CL521,"DEPUTY COMMISSIONER OF INCOME TAX C 5 2 1","BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA",BENGALURU,NA,560095,"ACIT C 5 2 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 5 3",CL531,"DEPUTY COMMISSIONER OF INCOME TAX C 5 3 1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 5 3 1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 5 3",CL532,"DEPUTY COMMISSIONER OF INCOME TAX C 5 3 2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 5 3 2",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 6 1",CL611,"DEPUTY COMMISSIONER OF INCOME TAX C 6 1 1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 6 1 1",6
