state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
"Andhra Pradesh",Guntur,Amaravathi,Munagodu,Munagodu,"Thuragavari Palem",0000015338,0008199343,120136072,River,"Surface Water","PUTTIPADU AGRAHARAM","Providing FHTCs in Thuragavaripalem Village by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89010701200741)",2020-2021,8.73000,0.00000,"01 Jan 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Pondugala,Pondugala,0001686468,0007209296,120136078,"Deep Tubewell","Ground Water",PONDUGALA,"PWS SCHEME TO PONDUGALA",2000-2001,15.00000,15.00000,"05 May 2005","05 May 2006",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0007399327,120216086,River,"Surface Water",AMARAVATHI(0710309010010900),"AUGMENTATION OF CPWSS TO VYKUNTAPURAM AND OTHER HABS IN PEDAKURAPADU AND TADIKONDA CONSTITUENCIES",2012-2013,150.00000,136.54500,"16 May 2013","28 Feb 2019",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0008282777,120253123,"Deep Tubewell","Ground Water","New source","Hand pump",2017-2018,0.05000,0.00000,"21 Apr 2018","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Attaluru,Attaluru,Attaluru,0000015340,0002292478,1895450,"Deep Tubewell","Ground Water","GANGAIAH HOUSE",HANDPUMP,1989-1990,0.26000,0.26000,"30 Aug 1989","30 Aug 1989",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Attaluru,Attaluru,Attaluru,0000015340,0002292471,1895448,"Deep Tubewell","Ground Water",HOSPITAL,HANDPUMP,1984-1985,0.24000,0.24000,"03 Apr 1985","03 Apr 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Malladi,Malladi,0000015343,0002292521,1895533,"Deep Tubewell","Ground Water",NA,HANDPUMP,1983-1984,0.10000,0.10000,"31 Mar 1984","31 Mar 1984",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Malladi,Malladi,0000015343,0002292541,1895514,"Deep Tubewell","Ground Water","A H Rao House",HANDPUMP,2000-2001,0.30000,0.30000,"31 Mar 2001","31 Mar 2001",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Pondugala,Pondugala,0001686468,0002292517,1895506,"Deep Tubewell","Ground Water",NA,HANDPUMP,1983-1984,0.10000,0.10000,"31 Mar 1984","31 Mar 1984",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Karlapudi,Karlapudi,Karlapudi,0000015355,0005052104,4977560,"Deep Tubewell","Ground Water",NA,"EXTENSION OF PIPE LINE IN KARLAPUDI VILLAGE OF AMARAVATHI MANDAL (BN)",2006-2007,1.80000,1.62000,"02 Apr 2012","31 Mar 2013",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Dharanikota,Dharanikota,Dharanikota,0000015346,0005140998,5055793,"Deep Tubewell","Ground Water",NA,"PWS SCHEME TO DHARANIKOTA",1986-1987,12.00000,10.80000,"09 Feb 1986","09 Feb 1987",2024-06-07
