STATE/UT,"CRIME HEAD",2013
Jharkhand,"Buying of Girls for Prostitution",2
Karnataka,"Buying of Girls for Prostitution",0
Kerala,"Buying of Girls for Prostitution",0
"Madhya Pradesh","Buying of Girls for Prostitution",0
Maharashtra,"Buying of Girls for Prostitution",2
Manipur,"Buying of Girls for Prostitution",0
Meghalaya,"Buying of Girls for Prostitution",0
Mizoram,"Buying of Girls for Prostitution",0
Nagaland,"Buying of Girls for Prostitution",0
Odisha,"Buying of Girls for Prostitution",0
Punjab,"Buying of Girls for Prostitution",0
Rajasthan,"Buying of Girls for Prostitution",4
Sikkim,"Buying of Girls for Prostitution",0
"Tamil Nadu","Buying of Girls for Prostitution",0
Tripura,"Buying of Girls for Prostitution",0
"Uttar Pradesh","Buying of Girls for Prostitution",0
Uttarakhand,"Buying of Girls for Prostitution",0
"West Bengal","Buying of Girls for Prostitution",1
"Total (State)","Buying of Girls for Prostitution",9
"A&N Islands","Buying of Girls for Prostitution",0
Chandigarh,"Buying of Girls for Prostitution",0
"D&N Haveli","Buying of Girls for Prostitution",0
"Daman & Diu","Buying of Girls for Prostitution",0
"Delhi UT","Buying of Girls for Prostitution",0
Lakshadweep,"Buying of Girls for Prostitution",0
Puducherry,"Buying of Girls for Prostitution",0
"Total (UTs)","Buying of Girls for Prostitution",0
"Total (All-India)","Buying of Girls for Prostitution",9
"Andhra Pradesh","Exposure and Abandonment",15
"Arunachal Pradesh","Exposure and Abandonment",0
Assam,"Exposure and Abandonment",0
Bihar,"Exposure and Abandonment",2
Chhattisgarh,"Exposure and Abandonment",1
Goa,"Exposure and Abandonment",1
Gujarat,"Exposure and Abandonment",7
Haryana,"Exposure and Abandonment",1
"Himachal Pradesh","Exposure and Abandonment",1
"Jammu & Kashmir","Exposure and Abandonment",1
Jharkhand,"Exposure and Abandonment",0
Karnataka,"Exposure and Abandonment",0
Kerala,"Exposure and Abandonment",0
"Madhya Pradesh","Exposure and Abandonment",10
Maharashtra,"Exposure and Abandonment",62
Manipur,"Exposure and Abandonment",0
Meghalaya,"Exposure and Abandonment",0
Mizoram,"Exposure and Abandonment",0
Nagaland,"Exposure and Abandonment",0
Odisha,"Exposure and Abandonment",0
Punjab,"Exposure and Abandonment",0
Rajasthan,"Exposure and Abandonment",16
Sikkim,"Exposure and Abandonment",0
"Tamil Nadu","Exposure and Abandonment",1
Tripura,"Exposure and Abandonment",0
"Uttar Pradesh","Exposure and Abandonment",2
Uttarakhand,"Exposure and Abandonment",0
"West Bengal","Exposure and Abandonment",0
"Total (State)","Exposure and Abandonment",120
"A&N Islands","Exposure and Abandonment",0
Chandigarh,"Exposure and Abandonment",0
"D&N Haveli","Exposure and Abandonment",0
"Daman & Diu","Exposure and Abandonment",0
"Delhi UT","Exposure and Abandonment",2
Lakshadweep,"Exposure and Abandonment",0
Puducherry,"Exposure and Abandonment",0
"Total (UTs)","Exposure and Abandonment",2
"Total (All-India)","Exposure and Abandonment",122
"Andhra Pradesh",Foeticide,2
"Arunachal Pradesh",Foeticide,0
Assam,Foeticide,0
Bihar,Foeticide,2
Chhattisgarh,Foeticide,9
Goa,Foeticide,0
Gujarat,Foeticide,0
Haryana,Foeticide,6
"Himachal Pradesh",Foeticide,0
"Jammu & Kashmir",Foeticide,0
Jharkhand,Foeticide,0
Karnataka,Foeticide,0
Kerala,Foeticide,0
"Madhya Pradesh",Foeticide,10
Maharashtra,Foeticide,10
Manipur,Foeticide,0
Meghalaya,Foeticide,0
Mizoram,Foeticide,0
Nagaland,Foeticide,0
Odisha,Foeticide,0
Punjab,Foeticide,1
Rajasthan,Foeticide,13
Sikkim,Foeticide,0
"Tamil Nadu",Foeticide,0
Tripura,Foeticide,0
"Uttar Pradesh",Foeticide,36
Uttarakhand,Foeticide,0
"West Bengal",Foeticide,5
"Total (State)",Foeticide,94
"A&N Islands",Foeticide,1
Chandigarh,Foeticide,0
"D&N Haveli",Foeticide,0
"Daman & Diu",Foeticide,0
"Delhi UT",Foeticide,0
Lakshadweep,Foeticide,0
Puducherry,Foeticide,0
"Total (UTs)",Foeticide,1
"Total (All-India)",Foeticide,95
"Andhra Pradesh",Infanticide,6
"Arunachal Pradesh",Infanticide,0
Assam,Infanticide,0
Bihar,Infanticide,0
Chhattisgarh,Infanticide,3
Goa,Infanticide,0
Gujarat,Infanticide,0
Haryana,Infanticide,0
"Himachal Pradesh",Infanticide,0
"Jammu & Kashmir",Infanticide,1
Jharkhand,Infanticide,0
Karnataka,Infanticide,1
Kerala,Infanticide,0
"Madhya Pradesh",Infanticide,1
Maharashtra,Infanticide,2
Manipur,Infanticide,0
Meghalaya,Infanticide,1
Mizoram,Infanticide,0
Nagaland,Infanticide,0
Odisha,Infanticide,0
Punjab,Infanticide,1
Rajasthan,Infanticide,1
Sikkim,Infanticide,0
"Tamil Nadu",Infanticide,4
Tripura,Infanticide,0
"Uttar Pradesh",Infanticide,20
Uttarakhand,Infanticide,0
"West Bengal",Infanticide,0
"Total (State)",Infanticide,41
"A&N Islands",Infanticide,0
Chandigarh,Infanticide,0
"D&N Haveli",Infanticide,0
"Daman & Diu",Infanticide,0
"Delhi UT",Infanticide,1
Lakshadweep,Infanticide,0
Puducherry,Infanticide,0
"Total (UTs)",Infanticide,1
"Total (All-India)",Infanticide,42
"Andhra Pradesh","Kidnapping & Abduction of Children",1012
"Arunachal Pradesh","Kidnapping & Abduction of Children",32
Assam,"Kidnapping & Abduction of Children",75
Bihar,"Kidnapping & Abduction of Children",1577
Chhattisgarh,"Kidnapping & Abduction of Children",435
Goa,"Kidnapping & Abduction of Children",34
Gujarat,"Kidnapping & Abduction of Children",1496
Haryana,"Kidnapping & Abduction of Children",488
"Himachal Pradesh","Kidnapping & Abduction of Children",81
"Jammu & Kashmir","Kidnapping & Abduction of Children",40
Jharkhand,"Kidnapping & Abduction of Children",34
Karnataka,"Kidnapping & Abduction of Children",379
Kerala,"Kidnapping & Abduction of Children",155
"Madhya Pradesh","Kidnapping & Abduction of Children",1165
Maharashtra,"Kidnapping & Abduction of Children",1495
Manipur,"Kidnapping & Abduction of Children",6
Meghalaya,"Kidnapping & Abduction of Children",17
Mizoram,"Kidnapping & Abduction of Children",2
Nagaland,"Kidnapping & Abduction of Children",8
Odisha,"Kidnapping & Abduction of Children",250
Punjab,"Kidnapping & Abduction of Children",493
Rajasthan,"Kidnapping & Abduction of Children",709
Sikkim,"Kidnapping & Abduction of Children",25
"Tamil Nadu","Kidnapping & Abduction of Children",506
Tripura,"Kidnapping & Abduction of Children",20
"Uttar Pradesh","Kidnapping & Abduction of Children",12978
Uttarakhand,"Kidnapping & Abduction of Children",31
"West Bengal","Kidnapping & Abduction of Children",739
"Total (State)","Kidnapping & Abduction of Children",24282
"A&N Islands","Kidnapping & Abduction of Children",3
Chandigarh,"Kidnapping & Abduction of Children",55
"D&N Haveli","Kidnapping & Abduction of Children",2
"Daman & Diu","Kidnapping & Abduction of Children",1
"Delhi UT","Kidnapping & Abduction of Children",603
Lakshadweep,"Kidnapping & Abduction of Children",0
Puducherry,"Kidnapping & Abduction of Children",5
"Total (UTs)","Kidnapping & Abduction of Children",669
"Total (All-India)","Kidnapping & Abduction of Children",24951
"Andhra Pradesh","Other Crimes against Children",748
"Arunachal Pradesh","Other Crimes against Children",7
Assam,"Other Crimes against Children",67
Bihar,"Other Crimes against Children",10
