"Sl. No.","Crime Head","Juveniles Apprehended - Boys","Juveniles Apprehended - Girls","Juveniles Apprehended - Transgender","Juveniles Apprehended - Total","18 Years & Above - Below 30 Years - Male ","18 Years & Above - Below 30 Years - Female","18 Years & Above - Below 30 Years - Transgender","18 Years & Above - Below 30 Years - Total","30 Years & above - Below 45 Years - Male","30 Years & above - Below 45 Years - Female","30 Years & above - Below 45 Years - Transgender","30 Years & above - Below 45 Years - Total","45 Years & above - Below 60 Years - Male ","45 Years & above - Below 60 Years - Female","45 Years & above - Below 60 Years - Transgender","45 Years & above - Below 60 Years - Total","60 Years & Above - Male","60 Years & Above - Female","60 Years & Above - Transgender","60 Years & Above - Total","Total of Overall Age Group - Male ","Total of Overall Age Group - Female","Total of Overall Age Group - Transgender","Total of Overall Age Group - Total"
46,"The Indian Telegraph Act",0,0,0,0,4,0,0,4,3,0,0,3,1,0,0,1,0,0,0,0,8,0,0,8
47,"The Telegraph Wire (Unlawful Possession) Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"The Cinematograph Act",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
49,"The Cable Television Networks (Regulation) Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Telegraph/Cinematograph Acts","Telegraph/Cinematograph Acts",0,0,0,0,4,0,0,4,4,0,0,4,1,0,0,1,0,0,0,0,9,0,0,9
50,"The Essential Commodities Act",0,0,0,0,231,3,0,234,214,3,0,217,48,0,0,48,6,0,0,6,499,6,0,505
51,"The Prevention of Food Adulteration Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"The Food Safety & Standards Act",0,0,0,0,3,0,0,3,6,0,0,6,0,0,0,0,0,0,0,0,9,0,0,9
"Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts",0,0,0,0,234,3,0,237,220,3,0,223,48,0,0,48,6,0,0,6,508,6,0,514
53,"MACOCA/Control of Organised Crimes",0,0,0,0,22,0,0,22,27,1,0,28,0,0,0,0,0,0,0,0,49,1,0,50
54,"The Gambling Act",10,0,0,10,15279,98,0,15377,16271,211,0,16482,6626,103,0,6729,651,10,0,661,38837,422,0,39259
55,"The Electricity Act",2,0,0,2,844,9,0,853,956,33,0,989,555,19,0,574,17,0,0,17,2374,61,0,2435
56,"The Antiques and Art Treasures Act",0,0,0,0,3,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,5
57,"The Representation of the People Act",0,0,0,0,7,0,0,7,9,1,0,10,5,2,0,7,1,0,0,1,22,3,0,25
58,"The Bonded Labour System (Abolition) Act",0,0,0,0,5,0,0,5,4,0,0,4,6,0,0,6,1,0,0,1,16,0,0,16
58.1,"Against SC",0,0,0,0,5,0,0,5,3,0,0,3,2,0,0,2,0,0,0,0,10,0,0,10
58.2,"Against ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.3,"Against others",0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,1,0,0,1,6,0,0,6
59,"The Prevention of Insults to National Honour Act",0,0,0,0,3,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,5,0,0,5
60,"Defacement of Public Property Acts",0,0,0,0,558,15,0,573,285,9,0,294,38,2,0,40,1,0,0,1,882,26,0,908
61,"The Transplantation of Human Organs Act",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
62,"Transgender Persons (Protection of Rights) Act",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
63,"The Mental Health Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Motor Vehicle Act",1,0,0,1,1258,0,0,1258,1380,1,0,1381,437,0,0,437,21,0,0,21,3097,1,0,3098
65,"City/Town Police Acts",1,0,0,1,12304,69,0,12373,6702,65,0,6767,5667,24,0,5691,1064,13,0,1077,25738,171,0,25909
66,"Other State Local Acts",5,0,0,5,10563,76,0,10639,9791,128,0,9919,2653,59,0,2712,311,11,0,322,23323,274,0,23597
NA,NA,19,0,0,19,40846,267,0,41113,35432,449,0,35881,15988,209,0,16197,2067,34,0,2101,94352,959,0,95311
67,"Other SLL Crimes",21,0,0,21,55976,241,0,56217,38759,359,0,39118,15046,142,0,15188,1242,18,0,1260,111044,760,0,111804
"Total Cognizable SLL Crimes","Total Cognizable SLL Crimes",659,0,0,659,153305,4665,0,157970,118221,8933,2,127156,45901,5413,0,51314,4737,671,0,5408,322823,19682,2,342507
