Bihar,"8 - Importation of Girls from Foreign Country (Section 366B IPC)",5
Bihar,"9 - Abetment of Suicides of Women u/s 306 IPC",0
Bihar,"10 - Dowry Prohibition Act, 1961",2203
Bihar,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0
Bihar,"12 - Commission of Sati Prevention Act 1987",0
Bihar,"13 - Protection of Women from Domestic Violence Act, 2005",112
Bihar,"14 - Immoral Traffic (Prevention) Act (Women Cases only)",31
Bihar,"14.1 - Under ITP Section 5",29
Bihar,"14.2 - Under ITP Section 6",2
Bihar,"14.3 - Under ITP Section 7",0
Bihar,"14.4 - Under ITP Section 8",0
Bihar,"14.5 - Other Sections under ITP Act",0
Bihar,"15 - Total Crimes against Women",15383
Chhattisgarh,"1 - Rape (Section 376 IPC)",1436
Chhattisgarh,"1.1 - Custodial Rape",0
Chhattisgarh,"1.1.1 - Custodial_Gang Rape",0
Chhattisgarh,"1.1.2 - Custodial_Other Rape",0
Chhattisgarh,"1.2 - Rape other than Custodial",1436
Chhattisgarh,"1.2.1 - Rape_Gang Rape",64
Chhattisgarh,"1.2.2 - Rape_Others",1372
Chhattisgarh,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",21
Chhattisgarh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",1393
Chhattisgarh,"3.1 - Kidnaping & Abduction Section 363 IPC",922
Chhattisgarh,"3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",5
Chhattisgarh,"3.3 - Kidnapping for Ransom Section 364A",0
Chhattisgarh,"3.4 - Kidnapping & Abduction of Women to compel her for marriage",263
Chhattisgarh,"3.5 - Kidnapping & Abduction of Women-Other",203
Chhattisgarh,"4 - Dowry Deaths (Section 304-B IPC)",128
Chhattisgarh,"5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",2122
Chhattisgarh,"5.1 - Sexual Harassment",649
Chhattisgarh,"5.2 - Assault on women with intent to Disrobe",76
Chhattisgarh,"5.3 - Voyeurism",9
Chhattisgarh,"5.4 - Stalking",72
Chhattisgarh,"5.5 - Others",1316
Chhattisgarh,"6 - Insult to the Modesty of Women_Total (Section 509 IPC)",79
Chhattisgarh,"6.1 - At Office premises",0
Chhattisgarh,"6.2 - Other places related to work",13
Chhattisgarh,"6.3 - In Public Transport system",0
Chhattisgarh,"6.4 - in Other Places",66
Chhattisgarh,"7 - Cruelty by Husband or his Relatives (Section 498A)",964
Chhattisgarh,"8 - Importation of Girls from Foreign Country (Section 366B IPC)",0
Chhattisgarh,"9 - Abetment of Suicides of Women u/s 306 IPC",102
Chhattisgarh,"10 - Dowry Prohibition Act, 1961",8
Chhattisgarh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0
Chhattisgarh,"12 - Commission of Sati Prevention Act 1987",0
Chhattisgarh,"13 - Protection of Women from Domestic Violence Act, 2005",0
Chhattisgarh,"14 - Immoral Traffic (Prevention) Act (Women Cases only)",2
Chhattisgarh,"14.1 - Under ITP Section 5",2
Chhattisgarh,"14.2 - Under ITP Section 6",0
Chhattisgarh,"14.3 - Under ITP Section 7",0
Chhattisgarh,"14.4 - Under ITP Section 8",0
Chhattisgarh,"14.5 - Other Sections under ITP Act",0
Chhattisgarh,"15 - Total Crimes against Women",6255
Goa,"1 - Rape (Section 376 IPC)",95
Goa,"1.1 - Custodial Rape",0
Goa,"1.1.1 - Custodial_Gang Rape",0
Goa,"1.1.2 - Custodial_Other Rape",0
Goa,"1.2 - Rape other than Custodial",95
Goa,"1.2.1 - Rape_Gang Rape",2
Goa,"1.2.2 - Rape_Others",93
Goa,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",2
Goa,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",86
Goa,"3.1 - Kidnaping & Abduction Section 363 IPC",77
Goa,"3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",0
Goa,"3.3 - Kidnapping for Ransom Section 364A",0
Goa,"3.4 - Kidnapping & Abduction of Women to compel her for marriage",0
Goa,"3.5 - Kidnapping & Abduction of Women-Other",9
Goa,"4 - Dowry Deaths (Section 304-B IPC)",0
Goa,"5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",202
Goa,"5.1 - Sexual Harassment",50
Goa,"5.2 - Assault on women with intent to Disrobe",7
Goa,"5.3 - Voyeurism",11
Goa,"5.4 - Stalking",25
Goa,"5.5 - Others",109
Goa,"6 - Insult to the Modesty of Women_Total (Section 509 IPC)",57
Goa,"6.1 - At Office premises",1
Goa,"6.2 - Other places related to work",1
Goa,"6.3 - In Public Transport system",0
Goa,"6.4 - in Other Places",55
Goa,"7 - Cruelty by Husband or his Relatives (Section 498A)",35
Goa,"8 - Importation of Girls from Foreign Country (Section 366B IPC)",0
Goa,"9 - Abetment of Suicides of Women u/s 306 IPC",0
Goa,"10 - Dowry Prohibition Act, 1961",0
Goa,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0
Goa,"12 - Commission of Sati Prevention Act 1987",0
Goa,"13 - Protection of Women from Domestic Violence Act, 2005",2
Goa,"14 - Immoral Traffic (Prevention) Act (Women Cases only)",9
Goa,"14.1 - Under ITP Section 5",5
Goa,"14.2 - Under ITP Section 6",0
Goa,"14.3 - Under ITP Section 7",0
Goa,"14.4 - Under ITP Section 8",0
Goa,"14.5 - Other Sections under ITP Act",4
Goa,"15 - Total Crimes against Women",488
Gujarat,"1 - Rape (Section 376 IPC)",841
Gujarat,"1.1 - Custodial Rape",0
Gujarat,"1.1.1 - Custodial_Gang Rape",0
Gujarat,"1.1.2 - Custodial_Other Rape",0
Gujarat,"1.2 - Rape other than Custodial",841
Gujarat,"1.2.1 - Rape_Gang Rape",16
Gujarat,"1.2.2 - Rape_Others",825
Gujarat,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",6
Gujarat,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2187
Gujarat,"3.1 - Kidnaping & Abduction Section 363 IPC",617
Gujarat,"3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",0
Gujarat,"3.3 - Kidnapping for Ransom Section 364A",2
Gujarat,"3.4 - Kidnapping & Abduction of Women to compel her for marriage",1378
Gujarat,"3.5 - Kidnapping & Abduction of Women-Other",190
Gujarat,"4 - Dowry Deaths (Section 304-B IPC)",23
Gujarat,"5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",1352
Gujarat,"5.1 - Sexual Harassment",405
Gujarat,"5.2 - Assault on women with intent to Disrobe",51
Gujarat,"5.3 - Voyeurism",7
Gujarat,"5.4 - Stalking",62
Gujarat,"5.5 - Others",827
Gujarat,"6 - Insult to the Modesty of Women_Total (Section 509 IPC)",173
Gujarat,"6.1 - At Office premises",1
Gujarat,"6.2 - Other places related to work",3
Gujarat,"6.3 - In Public Transport system",0
Gujarat,"6.4 - in Other Places",169
Gujarat,"7 - Cruelty by Husband or his Relatives (Section 498A)",5991
Gujarat,"8 - Importation of Girls from Foreign Country (Section 366B IPC)",0
Gujarat,"9 - Abetment of Suicides of Women u/s 306 IPC",164
Gujarat,"10 - Dowry Prohibition Act, 1961",53
Gujarat,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0
Gujarat,"12 - Commission of Sati Prevention Act 1987",0
Gujarat,"13 - Protection of Women from Domestic Violence Act, 2005",2
Gujarat,"14 - Immoral Traffic (Prevention) Act (Women Cases only)",45
Gujarat,"14.1 - Under ITP Section 5",18
Gujarat,"14.2 - Under ITP Section 6",5
Gujarat,"14.3 - Under ITP Section 7",1
Gujarat,"14.4 - Under ITP Section 8",3
Gujarat,"14.5 - Other Sections under ITP Act",18
Gujarat,"15 - Total Crimes against Women",10837
Haryana,"1 - Rape (Section 376 IPC)",1174
Haryana,"1.1 - Custodial Rape",0
Haryana,"1.1.1 - Custodial_Gang Rape",0
Haryana,"1.1.2 - Custodial_Other Rape",0
Haryana,"1.2 - Rape other than Custodial",1174
Haryana,"1.2.1 - Rape_Gang Rape",230
Haryana,"1.2.2 - Rape_Others",944
Haryana,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",136
Haryana,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",1922
Haryana,"3.1 - Kidnaping & Abduction Section 363 IPC",113
Haryana,"3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",5
Haryana,"3.3 - Kidnapping for Ransom Section 364A",1
Haryana,"3.4 - Kidnapping & Abduction of Women to compel her for marriage",886
Haryana,"3.5 - Kidnapping & Abduction of Women-Other",917
Haryana,"4 - Dowry Deaths (Section 304-B IPC)",293
Haryana,"5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",1688
Haryana,"5.1 - Sexual Harassment",599
Haryana,"5.2 - Assault on women with intent to Disrobe",229
Haryana,"5.3 - Voyeurism",26
Haryana,"5.4 - Stalking",284
Haryana,"5.5 - Others",550
Haryana,"6 - Insult to the Modesty of Women_Total (Section 509 IPC)",102
Haryana,"6.1 - At Office premises",1
Haryana,"6.2 - Other places related to work",1
Haryana,"6.3 - In Public Transport system",2
Haryana,"6.4 - in Other Places",98
Haryana,"7 - Cruelty by Husband or his Relatives (Section 498A)",3478
Haryana,"8 - Importation of Girls from Foreign Country (Section 366B IPC)",0
Haryana,"9 - Abetment of Suicides of Women u/s 306 IPC",120
Haryana,"10 - Dowry Prohibition Act, 1961",13
Haryana,"11 - Indecent Representation of Women (Prohibition) Act, 1986",1
Haryana,"12 - Commission of Sati Prevention Act 1987",0
Haryana,"13 - Protection of Women from Domestic Violence Act, 2005",4
Haryana,"14 - Immoral Traffic (Prevention) Act (Women Cases only)",43
Haryana,"14.1 - Under ITP Section 5",17
Haryana,"14.2 - Under ITP Section 6",9
Haryana,"14.3 - Under ITP Section 7",1
Haryana,"14.4 - Under ITP Section 8",0
Haryana,"14.5 - Other Sections under ITP Act",16
Haryana,"15 - Total Crimes against Women",8974
"Himachal Pradesh","1 - Rape (Section 376 IPC)",283
"Himachal Pradesh","1.1 - Custodial Rape",0
"Himachal Pradesh","1.1.1 - Custodial_Gang Rape",0
"Himachal Pradesh","1.1.2 - Custodial_Other Rape",0
"Himachal Pradesh","1.2 - Rape other than Custodial",283
"Himachal Pradesh","1.2.1 - Rape_Gang Rape",6
"Himachal Pradesh","1.2.2 - Rape_Others",277
"Himachal Pradesh","2 - Attempt to commit Rape (Section 376 & 511 IPC)",5
"Himachal Pradesh","3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",227
"Himachal Pradesh","3.1 - Kidnaping & Abduction Section 363 IPC",32
"Himachal Pradesh","3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",1
"Himachal Pradesh","3.3 - Kidnapping for Ransom Section 364A",1
"Himachal Pradesh","3.4 - Kidnapping & Abduction of Women to compel her for marriage",175
"Himachal Pradesh","3.5 - Kidnapping & Abduction of Women-Other",18
"Himachal Pradesh","4 - Dowry Deaths (Section 304-B IPC)",1
"Himachal Pradesh","5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",538
"Himachal Pradesh","5.1 - Sexual Harassment",159
"Himachal Pradesh","5.2 - Assault on women with intent to Disrobe",18
"Himachal Pradesh","5.3 - Voyeurism",3
"Himachal Pradesh","5.4 - Stalking",62
"Himachal Pradesh","5.5 - Others",296
"Himachal Pradesh","6 - Insult to the Modesty of Women_Total (Section 509 IPC)",60
"Himachal Pradesh","6.1 - At Office premises",0
"Himachal Pradesh","6.2 - Other places related to work",0
"Himachal Pradesh","6.3 - In Public Transport system",0
"Himachal Pradesh","6.4 - in Other Places",60
"Himachal Pradesh","7 - Cruelty by Husband or his Relatives (Section 498A)",325
"Himachal Pradesh","8 - Importation of Girls from Foreign Country (Section 366B IPC)",0
"Himachal Pradesh","9 - Abetment of Suicides of Women u/s 306 IPC",66
"Himachal Pradesh","10 - Dowry Prohibition Act, 1961",2
"Himachal Pradesh","11 - Indecent Representation of Women (Prohibition) Act, 1986",0
"Himachal Pradesh","12 - Commission of Sati Prevention Act 1987",0
"Himachal Pradesh","13 - Protection of Women from Domestic Violence Act, 2005",5
