"Name of Institution","Name of Faculty","Name of Department",Level,Programme,"Name of Discipline",Intake,"Examination System"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Sc.-Master of Science","Computer Science",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Sc.-Master of Science","Information Technology",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Sc.-Master of Science",Mathematics,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Sc.-Master of Science",Physics,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Sc.-Master of Science",Zoology,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.S.W.-Master of Social Work","Social Work",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.A.-Bachelor of Arts",English,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.A.-Bachelor of Arts",History,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.A.-Bachelor of Arts","Public Administration",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.B.A.-Bachelor of Business Administration",Banking,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.B.A.-Bachelor of Business Administration","Business Administration",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.C.A.-Bachelor of Computer Applications","Computer Application",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Com.-Bachelor of Commerce",Commerce,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Com.-Bachelor of Commerce","Computer Application",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Lib.I.Sc.-Bachelor of Library and Information Science","Library Information Science",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Litt.-Bachelor of Literature",Tamil,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science","Computer Science",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science","Information Technology",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science",Math,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science",Mathematics,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science",Maths,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science",Psychology,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science",Science,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Under Graduate","B.Sc.-Bachelor of Science",Science,0,Annual
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Centre for Vocational Studies",Certificate,Certificate-Certificate,"Advanced Diploma in Information Technology",600,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Centre for Vocational Studies",Certificate,Certificate-Certificate,"Diploma in Apparel Manufacturing Technology(AMT)",50,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Centre for Vocational Studies",Certificate,Certificate-Certificate,"Diploma in Medical Laboratory Technology(DMLT)",25,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Centre for Vocational Studies",Certificate,Certificate-Certificate,"DOEACC""A"" Level",50,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Centre for Vocational Studies",Certificate,Certificate-Certificate,"DOEACC ""O"" Level",500,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Centre for Vocational Studies",Certificate,Certificate-Certificate,"Fasion Design Technology",55,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Department of Civil Engineering","Under Graduate","B.E.-Bachelor of Engineering","Civil Engineering",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Department of Computer Engineering","Under Graduate","B.E.-Bachelor of Engineering","computer Sc. and Engineering",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Department of Electrical Engineering","Under Graduate","B.E.-Bachelor of Engineering","Electrical Engineering",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Department of Electronics and Communication Engineering","Under Graduate","B.E.-Bachelor of Engineering","Electronics and Communication Engineering",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Engineering and Technology","Department of Mechanical Engineering","Under Graduate","B.E.-Bachelor of Engineering","Mechanical Engineering",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Humanities and Social Sciences","Department of History","Post Graduate","M.A.-Master of Arts",M.A.,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Humanities and Social Sciences","Department of Media Science (Journalism and Mass Communication)",Integrated,"Integrated M.A.-Integrated Master of Arts",MJMC,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Languages","Department of Arabic",Ph.D.,"Ph.D.-Doctor of Philosophy",Ph.D.,5,"Not Applicable"
"Aliah University, Kolkata (Id: U-0567)","Faculty of Languages","Department of Arabic","Post Graduate","M.A.-Master of Arts",Arabic,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Languages","Department of Arabic","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Arabic,70,Annual
"Aliah University, Kolkata (Id: U-0567)","Faculty of Languages","Department of Bengali","Post Graduate","M.A.-Master of Arts",Bengali,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Languages","Department of English",Integrated,"Integrated M.A.-Integrated Master of Arts","Integrated M.A. in English",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Languages","Department of English",Ph.D.,"Ph.D.-Doctor of Philosophy",Ph.D.,5,"Not Applicable"
"Aliah University, Kolkata (Id: U-0567)","Faculty of Languages","Department of English","Post Graduate","M.A.-Master of Arts",English,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Chemistry,Integrated,"Integrated M.Sc.-Integrated Master of Science","Medicinal Chemistry",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Chemistry,Ph.D.,"Ph.D.-Doctor of Philosophy",Ph.D.,5,"Not Applicable"
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences","Computer Science",Integrated,"Integrated M.C.A.-Integrated Master of Computer Applications","Comp. Sc.",50,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences","Computer Science",Integrated,"Integrated M.Sc.-Integrated Master of Science","Comp. Sc.",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Geography,Integrated,"Integrated M.Sc.-Integrated Master of Science",Geography,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Geography,Ph.D.,"Ph.D.-Doctor of Philosophy",Ph.D.,5,"Not Applicable"
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Geography,"Post Graduate","M.Sc.-Master of Science",Geography,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Mathematics,Integrated,"Integrated M.Sc.-Integrated Master of Science","Mathematics and Computing",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Mathematics,Ph.D.,"Ph.D.-Doctor of Philosophy",Ph.D.,5,"Not Applicable"
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Physics,Integrated,"Integrated M.Sc.-Integrated Master of Science",Physics,35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Physics,Ph.D.,"Ph.D.-Doctor of Philosophy",Ph.D.,5,"Not Applicable"
"Aliah University, Kolkata (Id: U-0567)","Faculty of Natural Sciences",Statistics,Integrated,"Integrated M.Sc.-Integrated Master of Science","Statistics and Informatics",35,Semester
"Aliah University, Kolkata (Id: U-0567)","Faculty of Theology","Department of Theology","Post Graduate","M.A.-Master of Arts",MM,120,Annual
"Aliah University, Kolkata (Id: U-0567)","Faculty of Theology","Department of Theology","Under Graduate","B.A.-Bachelor of Arts",kamil,150,Annual
"Aliah University, Kolkata (Id: U-0567)","Faculty of Theology","Department of Theology","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Kamil,150,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Anaesthetic Assistance",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Dental Hygiene",6,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Dialysis Techniques",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Medical Lab Technology (PMB)",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Medical Lab Technology (Radiology)",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Operation Theater Managament",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Ophthalmic Assistnce",15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Physiotherapy and Rehabilitation",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,Diploma,Diploma-Diploma,"Surgical Endoscopic Techniques",6,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Applied Art",15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Company Law, Banking and Insurance",30,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Computer Programming",15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Criminology and Criminal Administration",15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Electronic Data Proc. and Machine Operation",25,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Environmental Chemistry",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Food Analysis",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Gardning and Interior Decoration",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Gem Testing and Jerwellery Designing",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Horticulture,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Hospitality Management",15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Journalism,15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Labour Law and Labour Relations",40,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Lab Technology (Physical and Chemical)",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Museology,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Orthoptics,5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Pest Management",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Public Relations",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Center of Professional Courses",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Taxation,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education",Certificate,Certificate-Certificate,Communicative,50,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education",Diploma,Diploma-Diploma,"Communicative Skills in English",50,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education",Diploma,Diploma-Diploma,IT,100,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","PG Diploma","PG Diploma-Post Graduate Diploma",BLIS,100,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","PG Diploma","PG Diploma-Post Graduate Diploma","Guidance and Counseling",50,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","PG Diploma","PG Diploma-Post Graduate Diploma",JMC,50,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","PG Diploma","PG Diploma-Post Graduate Diploma","Language for Advertisement, Marketing and Media",20,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","PG Diploma","PG Diploma-Post Graduate Diploma","Portfolio Management",50,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","Under Graduate","B.A.-Bachelor of Arts",Arts,1000,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)","Social Science",1000,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Centre for Distance Education","Centre for Distance Education","Under Graduate","B.Com.-Bachelor of Commerce",Commerce,500,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,M.Phil.,"M.Phil.-Master of Philosophy","Ag. Microbiology",0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,M.Phil.,"M.Phil.-Master of Philosophy","Agricultural Economics and Agribusiness Management",0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,M.Phil.,"M.Phil.-Master of Philosophy","Home Science",0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,M.Phil.,"M.Phil.-Master of Philosophy","Plant Protection (Entomology)",1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Ag. Microbiology",9,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Agricultural Economics and Agribusiness Management",9,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Agricultural Process and Food Engineering",2,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Home Science",5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Plant Protection (Entomology)",14,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,"Post Graduate","M.Sc.-Master of Science","Ag. Microbiology",12,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,"Post Graduate","M.Sc.-Master of Science","Agribusiness Management",20,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,"Post Graduate","M.Sc.-Master of Science","Entomology and Plant Pathology and Nematology",12,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,"Post Graduate","M.Sc.-Master of Science","Home Science",15,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,"Post Graduate","M.Tech. -Master of Technology","Agricultural Process and Food Engineering",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Agriculture",NA,"Under Graduate","B.Sc.-Bachelor of Science","Home Science",30,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Arabic,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Bengali,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Hindi,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Kashmiri,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Malayalam,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Marathi,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Persian,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Punjabi,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Sanskrit,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Tamil,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Certificate,Certificate-Certificate,Telugu,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Bengali,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Kashmiri,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Linguistics,40,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Malayalam,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Marathi,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Persian,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Punjabi,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Sanskrit,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Tamil,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Diploma,Diploma-Diploma,Telugu,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,M.Phil.,"M.Phil.-Master of Philosophy",English,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,M.Phil.,"M.Phil.-Master of Philosophy",Linguistics,1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,M.Phil.,"M.Phil.-Master of Philosophy","Modern Hindi Literature , Medieval Hindi Literature , Translation and Comparative Literature",1,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,M.Phil.,"M.Phil.-Master of Philosophy",Philosophy,4,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,M.Phil.,"M.Phil.-Master of Philosophy",Urdu,11,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Fine Arts",20,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Hindi,20,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"PG Diploma","PG Diploma-Post Graduate Diploma",Linguistics,10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Mass Communication (Urdu)",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Persian (Translation and Interpretation)",10,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Urdu Translation",5,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",English,24,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Fine Arts",11,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Linguistics,34,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Malayalam,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Modern Hindi Literature , Medieval Hindi Literature , Translation and Comparative Literature",62,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Persian,21,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Philosophy,24,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Punjabi,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Sanskrit (Vedic Studies, Classical Sanskrit Literature and Pali and Buddhism)",9,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Tamil,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Telugu,0,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Urdu Fiction, Modern Literature and Classical Poetry",82,Annual
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts","Ancient Hindi Literature, Medieval Hindi Literature, Modern Hindi Literature and Functional Hindi",30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",Arabic,35,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",Bengali,10,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",English,41,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts","Hindi Translation",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",Linguistics,15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",Malayalam,10,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts","Muslim Philosophy, Indian Philosophy, Western Philosophy",15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",Persian,15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts","Sanskrit (Vedas, Philosophy, Poetics, Pali-Prakrit, Grammer)",15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",Tamil,15,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts",Telugu,5,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.A.-Master of Arts","Urdu, Comparative Literature",50,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Post Graduate","M.F.A. -Master of Fine Arts","Fine Arts",10,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.-Bachelor of Arts",Arabic,30,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.-Bachelor of Arts",English,70,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.-Bachelor of Arts","Fine Arts",20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.-Bachelor of Arts",Linguistics,20,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.-Bachelor of Arts","Subsidiary courses in Bengali, Malayalam,Tamil,Telugu,Punjabi,Marathi and Kashmiri",40,Semester
"Aligarh Muslim University, Aligarh (Id: U-0496)","Faculty of Arts",NA,"Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Hindi,40,Semester
