"Sl. No.",State/UT,District,Grade,"District score 2021-22 - Overall","District score 2021-22 - Category - 1.Outcome (290)","District score 2021-22 - Category - 2. ECT (90)","District score 2021-22 - Category - 3. IF&SE (51)","District score 2021-22 - Category - 4.SS&CP (35)","District score 2021-22 - Category - 5. DL (50)","District score 2021-22 - Category - 6. GP (84)"
163,Gujarat,Valsad,Ati-Uttam,429,156,85,46,35,27,82
164,Gujarat,Junagadh,Ati-Uttam,425,153,86,43,34,27,82
165,Gujarat,"Sabar Kantha",Ati-Uttam,421,152,86,44,35,26,78
166,Gujarat,Vadodara,Uttam,418,154,87,41,28,28,80
167,Gujarat,Anand,Uttam,411,142,86,45,32,27,79
168,Gujarat,Botad,Uttam,408,139,83,43,33,31,79
169,Gujarat,Aravalli,Uttam,407,142,83,46,35,25,77
170,Gujarat,Navsari,Uttam,404,133,86,45,31,30,78
171,Gujarat,Mahesana,Uttam,403,147,83,38,33,28,75
172,Gujarat,Jamnagar,Uttam,401,131,86,42,34,28,79
173,Gujarat,Bharuch,Uttam,399,137,82,38,34,26,82
174,Gujarat,Kheda,Uttam,397,130,86,41,32,28,80
175,Gujarat,"Devbhoomi Dwarka",Uttam,394,134,87,40,31,29,74
176,Gujarat,Mahisagar,Uttam,393,136,84,39,30,27,77
177,Gujarat,Narmada,Uttam,391,155,76,40,26,17,78
178,Gujarat,"Panch Mahals",Uttam,390,141,81,40,32,20,76
179,Gujarat,Dohad,Uttam,389,131,86,42,29,21,81
180,Gujarat,Ahmedabad,Uttam,388,136,84,41,27,27,74
181,Gujarat,Kachchh,Uttam,387,119,86,44,30,29,79
182,Gujarat,Chhotaudepur,Uttam,387,146,71,44,28,24,74
183,Gujarat,Surat,Uttam,382,140,75,42,26,24,75
184,Gujarat,Surendranagar,Uttam,379,119,87,37,35,28,74
185,Gujarat,Tapi,Uttam,378,119,83,43,32,23,76
186,Gujarat,"The Dangs",Uttam,377,127,79,46,34,17,75
187,Gujarat,"Gir Somnath",Uttam,375,126,75,41,32,26,75
188,Gujarat,Bhavnagar,Uttam,374,120,83,40,22,30,79
189,Gujarat,Rajkot,Uttam,374,120,77,43,25,28,80
190,Gujarat,Amreli,Uttam,373,126,77,38,25,28,79
191,Gujarat,Patan,Uttam,367,113,79,41,28,26,80
192,Gujarat,Morbi,Uttam,363,108,83,42,24,28,78
193,Gujarat,Porbandar,Prachesta-1,360,117,79,38,24,26,77
194,Gujarat,"Banas Kantha",Prachesta-1,358,117,72,37,34,27,72
195,Gujarat,Gandhinagar,Prachesta-1,341,108,67,42,19,30,75
196,Haryana,Jind,Uttam,387,142,79,42,31,20,72
197,Haryana,Gurugram,Uttam,379,160,78,40,18,24,59
198,Haryana,Yamunanagar,Uttam,377,158,77,41,24,16,60
199,Haryana,Rohtak,Uttam,376,147,80,37,29,20,63
200,Haryana,Rewari,Uttam,375,163,80,45,25,15,47
201,Haryana,Hisar,Uttam,371,149,82,42,26,16,54
202,Haryana,Faridabad,Uttam,369,147,80,40,18,24,62
203,Haryana,Kurukshetra,Uttam,369,145,78,42,24,18,62
204,Haryana,Sonipat,Uttam,369,155,77,40,28,18,51
205,Haryana,Jhajjar,Uttam,361,150,64,42,23,21,60
206,Haryana,Fatehabad,Uttam,360,143,76,40,27,14,60
207,Haryana,Kaithal,Prachesta-1,358,137,79,41,24,20,56
208,Haryana,Bhiwani,Prachesta-1,357,136,83,44,20,13,61
209,Haryana,Panchkula,Prachesta-1,351,150,75,30,26,15,56
210,Haryana,Karnal,Prachesta-1,347,133,73,42,23,16,60
211,Haryana,Mahendragarh,Prachesta-1,346,153,73,40,21,12,48
212,Haryana,Panipat,Prachesta-1,345,138,72,43,15,17,60
213,Haryana,"Charkhi Dadri",Prachesta-1,345,127,85,43,21,14,55
214,Haryana,Ambala,Prachesta-1,329,126,66,39,28,13,59
215,Haryana,Nuh,Prachesta-1,314,113,81,38,18,9,55
216,Haryana,Palwal,Prachesta-1,313,128,70,38,13,12,51
217,Haryana,Sirsa,Prachesta-1,308,125,69,36,18,11,48
218,"Himachal Pradesh","Bilaspur (H.P.)",Prachesta-1,358,142,86,43,25,10,53
219,"Himachal Pradesh",Chamba,Prachesta-1,357,137,80,35,35,12,56
220,"Himachal Pradesh",Mandi,Prachesta-1,336,129,80,37,29,10,50
221,"Himachal Pradesh",Shimla,Prachesta-1,324,132,76,37,26,12,42
222,"Himachal Pradesh",Kullu,Prachesta-1,322,112,77,41,29,12,51
223,"Himachal Pradesh",Kangra,Prachesta-1,317,120,81,40,21,13,41
224,"Himachal Pradesh",Kinnaur,Prachesta-1,316,121,73,38,20,13,51
225,"Himachal Pradesh","Hamirpur (H.P.)",Prachesta-1,314,120,78,46,11,14,46
226,"Himachal Pradesh",Solan,Prachesta-1,307,114,69,37,28,13,46
227,"Himachal Pradesh",Sirmaur,Prachesta-1,303,115,69,34,28,11,46
228,"Himachal Pradesh",Una,Prachesta-2,297,121,73,36,15,14,38
229,"Himachal Pradesh","Lahul & Spiti",Prachesta-2,249,110,45,28,21,8,37
230,"Jammu and Kashmir",Srinagar,Uttam,374,172,74,36,25,15,51
231,"Jammu and Kashmir",Kulgam,Prachesta-1,360,148,84,31,33,9,55
232,"Jammu and Kashmir",Shopian,Prachesta-1,357,148,80,36,30,12,53
233,"Jammu and Kashmir",Pulwama,Prachesta-1,341,161,77,30,12,8,53
234,"Jammu and Kashmir",Anantnag,Prachesta-1,341,163,68,30,19,6,55
235,"Jammu and Kashmir",Rajauri,Prachesta-1,340,130,78,40,30,6,55
236,"Jammu and Kashmir",Jammu,Prachesta-1,325,159,66,33,15,12,41
237,"Jammu and Kashmir",Ganderbal,Prachesta-1,324,123,82,36,23,9,51
238,"Jammu and Kashmir",Badgam,Prachesta-1,313,132,68,31,17,10,55
239,"Jammu and Kashmir",Bandipora,Prachesta-1,311,132,65,33,19,7,55
240,"Jammu and Kashmir",Kupwara,Prachesta-1,307,125,75,33,19,7,48
241,"Jammu and Kashmir",Baramula,Prachesta-1,303,133,65,36,10,7,53
242,"Jammu and Kashmir",Punch,Prachesta-2,291,127,60,37,18,8,42
243,"Jammu and Kashmir",Doda,Prachesta-2,279,109,71,37,21,7,34
244,"Jammu and Kashmir",Samba,Prachesta-2,279,126,62,39,17,10,25
245,"Jammu and Kashmir",Kathua,Prachesta-2,277,127,51,37,22,7,33
246,"Jammu and Kashmir",Kishtwar,Prachesta-2,263,114,68,27,21,4,29
247,"Jammu and Kashmir",Udhampur,Prachesta-2,253,100,67,36,12,8,30
248,"Jammu and Kashmir",Ramban,Prachesta-2,249,106,67,31,9,4,32
249,"Jammu and Kashmir",Reasi,Prachesta-2,248,87,71,35,17,7,31
250,Jharkhand,"Saraikela- Kharsawan",Uttam,373,147,84,36,35,14,56
251,Jharkhand,Garhwa,Uttam,368,154,81,28,34,15,57
252,Jharkhand,Giridih,Uttam,361,132,85,36,34,7,68
253,Jharkhand,Hazaribag,Prachesta-1,352,129,84,25,33,11,70
254,Jharkhand,"Purbi Singhbhum",Prachesta-1,350,153,75,32,14,11,65
255,Jharkhand,Pakaur,Prachesta-1,345,119,80,37,28,13,67
256,Jharkhand,Ranchi,Prachesta-1,340,124,82,34,25,10,65
257,Jharkhand,Palamu,Prachesta-1,331,114,81,38,34,8,56
258,Jharkhand,Chatra,Prachesta-1,330,107,79,38,29,12,64
259,Jharkhand,Ramgarh,Prachesta-1,326,106,83,37,27,10,63
260,Jharkhand,Dhanbad,Prachesta-1,324,120,73,36,22,9,64
261,Jharkhand,Deoghar,Prachesta-1,318,132,79,37,10,7,54
262,Jharkhand,Latehar,Prachesta-1,314,96,78,40,28,7,65
263,Jharkhand,Bokaro,Prachesta-1,310,135,66,29,11,11,58
264,Jharkhand,Lohardaga,Prachesta-1,308,115,71,35,13,10,62
265,Jharkhand,Simdega,Prachesta-1,306,113,79,33,19,7,55
266,Jharkhand,"Pashchimi Singhbhum",Prachesta-1,306,114,80,37,2,17,57
267,Jharkhand,Jamtara,Prachesta-2,292,102,71,39,14,6,60
268,Jharkhand,Kodarma,Prachesta-2,288,106,69,33,23,9,47
269,Jharkhand,Gumla,Prachesta-2,286,115,75,33,6,5,52
270,Jharkhand,Khunti,Prachesta-2,284,97,78,31,13,5,60
271,Jharkhand,Sahibganj,Prachesta-2,275,101,73,26,18,6,52
272,Jharkhand,Godda,Prachesta-2,262,107,61,24,9,5,55
273,Jharkhand,Dumka,Prachesta-3,224,106,48,29,0,5,37
274,Karnataka,"Belagavi Chikkodi",Uttam,409,190,83,37,30,11,58
275,Karnataka,Hassan,Uttam,405,164,82,45,33,13,68
276,Karnataka,"Dakshina Kannada",Uttam,402,146,86,48,35,21,68
277,Karnataka,Udupi,Uttam,400,158,87,42,30,22,62
278,Karnataka,Chikkamangaluru,Uttam,393,155,82,44,35,15,62
279,Karnataka,Mandya,Uttam,392,151,83,46,34,17,61
280,Karnataka,"Uttara Kannada Sirsi",Uttam,390,154,85,46,34,11,59
281,Karnataka,"Bengaluru U South",Uttam,390,155,81,40,30,27,55
282,Karnataka,Bagalkot,Uttam,387,165,81,41,29,15,56
283,Karnataka,Koppal,Uttam,387,159,85,30,34,17,62
284,Karnataka,Chitradurga,Uttam,385,157,81,38,35,12,62
285,Karnataka,Tumakuru,Uttam,384,161,82,40,31,13,57
286,Karnataka,Vijayapura,Uttam,382,152,84,38,35,11,62
287,Karnataka,Kolar,Uttam,381,145,85,41,35,15,61
288,Karnataka,"Bengaluru Rural",Uttam,380,142,84,42,35,13,64
289,Karnataka,"Uttara Kannada",Uttam,377,157,81,43,27,11,59
290,Karnataka,Dharwad,Uttam,376,137,86,38,35,17,63
291,Karnataka,"Bengaluru U North",Uttam,372,142,80,41,24,25,60
292,Karnataka,Gadag,Uttam,371,128,84,42,33,19,64
293,Karnataka,Shivamogga,Uttam,370,135,82,47,30,15,61
294,Karnataka,Ballari,Uttam,366,137,85,30,35,17,63
295,Karnataka,Davanagere,Uttam,363,144,80,40,32,12,56
296,Karnataka,Kodagu,Uttam,363,145,82,44,20,17,55
297,Karnataka,Kalburgi,Uttam,362,142,83,37,28,13,60
298,Karnataka,Bidar,Prachesta-1,358,140,83,43,33,15,44
299,Karnataka,Belagavi,Prachesta-1,358,129,80,41,33,14,62
300,Karnataka,Mysuru,Prachesta-1,356,129,82,36,35,16,58
301,Karnataka,Vijayanagara,Prachesta-1,346,119,85,30,35,14,62
302,Karnataka,Haveri,Prachesta-1,346,133,77,42,26,11,56
303,Karnataka,Chikkaballapura,Prachesta-1,344,113,85,37,35,17,57
304,Karnataka,Chamarajanagara,Prachesta-1,341,125,80,42,30,12,53
305,Karnataka,Ramanagara,Prachesta-1,339,125,75,40,25,12,62
306,Karnataka,Raichur,Prachesta-1,331,143,70,39,31,8,39
307,Karnataka,"Tumakuru Madhugiri",Prachesta-1,330,148,72,36,14,7,53
308,Karnataka,Yadagiri,Prachesta-1,325,113,80,37,33,10,52
309,Kerala,Thrissur,Ati-Uttam,442,162,82,49,35,33,82
310,Kerala,Thiruvananthapuram,Ati-Uttam,441,165,85,45,35,32,80
311,Kerala,Ernakulam,Ati-Uttam,437,173,86,38,31,31,77
312,Kerala,Kottayam,Ati-Uttam,433,167,80,44,29,31,82
313,Kerala,Kollam,Ati-Uttam,427,159,85,40,35,27,81
314,Kerala,Kannur,Ati-Uttam,425,148,82,48,35,30,82
315,Kerala,Malappuram,Ati-Uttam,423,152,86,43,35,31,76
316,Kerala,Pathanamthitta,Ati-Uttam,422,151,86,42,35,27,82
317,Kerala,Alappuzha,Uttam,420,154,84,37,34,30,81
318,Kerala,Idukki,Uttam,418,147,86,41,35,29,80
319,Kerala,Kozhikode,Uttam,413,146,82,39,35,29,82
320,Kerala,Palakkad,Uttam,410,139,83,41,35,33,79
321,Kerala,Kasaragod,Uttam,402,137,83,40,31,28,83
322,Kerala,Wayanad,Uttam,396,131,80,47,27,29,82
323,Ladakh,"Leh (Ladakh)",Prachesta-1,345,140,79,36,18,16,56
324,Ladakh,Kargil,Prachesta-1,345,116,79,41,35,17,57
325,Lakshadweep,Lakshadweep,Uttam,406,140,88,47,35,32,64
326,"Madhya Pradesh",Bhind,Uttam,377,168,79,35,35,5,55
327,"Madhya Pradesh",Raisen,Uttam,374,169,77,37,31,7,54
328,"Madhya Pradesh",Damoh,Uttam,373,174,78,31,35,6,49
329,"Madhya Pradesh",Panna,Uttam,371,168,78,32,35,4,53
330,"Madhya Pradesh",Sagar,Uttam,369,154,80,36,34,9,57
331,"Madhya Pradesh",Narsimhapur,Uttam,362,157,79,37,30,8,51
332,"Madhya Pradesh",Chhatarpur,Uttam,360,164,80,33,31,5,47
333,"Madhya Pradesh",Bhopal,Prachesta-1,351,138,80,35,35,14,49
334,"Madhya Pradesh",Sidhi,Prachesta-1,351,158,80,33,30,4,46
335,"Madhya Pradesh",Niwari,Prachesta-1,351,148,81,36,35,3,48
336,"Madhya Pradesh",Chhindwara,Prachesta-1,348,131,82,36,35,7,57
337,"Madhya Pradesh",Sheopur,Prachesta-1,347,133,78,31,30,2,72
338,"Madhya Pradesh",Indore,Prachesta-1,346,123,80,40,34,12,57
339,"Madhya Pradesh",Dhar,Prachesta-1,343,128,79,38,33,7,58
340,"Madhya Pradesh",Betul,Prachesta-1,343,120,80,35,31,9,68
341,"Madhya Pradesh",Shahdol,Prachesta-1,341,131,79,33,30,6,62
342,"Madhya Pradesh",Gwalior,Prachesta-1,339,129,85,30,30,12,53
343,"Madhya Pradesh",Katni,Prachesta-1,337,132,79,34,30,6,57
344,"Madhya Pradesh",Vidisha,Prachesta-1,335,134,80,34,30,6,51
345,"Madhya Pradesh",Balaghat,Prachesta-1,335,126,82,38,30,6,53
346,"Madhya Pradesh",Tikamgarh,Prachesta-1,333,143,78,26,35,5,46
347,"Madhya Pradesh",Dewas,Prachesta-1,333,114,80,37,35,8,59
348,"Madhya Pradesh",Rajgarh,Prachesta-1,331,124,80,32,35,7,53
349,"Madhya Pradesh",Morena,Prachesta-1,327,136,72,37,29,1,52
350,"Madhya Pradesh",Seoni,Prachesta-1,327,111,83,35,35,6,56
351,"Madhya Pradesh",Rewa,Prachesta-1,326,113,78,35,35,6,59
352,"Madhya Pradesh",Jabalpur,Prachesta-1,325,126,79,27,35,9,48
353,"Madhya Pradesh",Datia,Prachesta-1,325,123,80,34,30,5,52
354,"Madhya Pradesh",Dindori,Prachesta-1,325,116,79,37,35,5,53
355,"Madhya Pradesh",Satna,Prachesta-1,324,119,79,32,30,5,59
356,"Madhya Pradesh",Ujjain,Prachesta-1,324,122,79,33,33,8,50
357,"Madhya Pradesh",Hoshangabad,Prachesta-1,324,120,80,34,31,9,51
358,"Madhya Pradesh",Sehore,Prachesta-1,323,123,81,33,30,8,48
359,"Madhya Pradesh",Mandla,Prachesta-1,322,117,79,35,32,5,54
360,"Madhya Pradesh",Singrauli,Prachesta-1,320,120,78,34,30,7,51
361,"Madhya Pradesh",Shivpuri,Prachesta-1,318,121,79,30,35,5,49
362,"Madhya Pradesh",Neemuch,Prachesta-1,317,105,82,34,31,9,57
363,"Madhya Pradesh",Shajapur,Prachesta-1,316,113,80,34,31,9,50
364,"Madhya Pradesh",Khargone,Prachesta-1,315,97,79,39,35,6,60
365,"Madhya Pradesh",Mandsaur,Prachesta-1,314,117,79,30,30,7,51
