"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
257,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Ramadevi College of Education (Id: C-25924)",0,0,0,0,0,0,0,0,0,0,51,49,0,0,0,0,0,0,0,0,0,0,0,0,51,49,100
258,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shadan Institute of Computer Studies (Girls) (Id: C-25923)",0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,262
259,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Wisdom Degree College (Id: C-25922)",50,27,79,45,0,21,54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,93,276
260,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shadan College of Education (Id: C-25921)",0,0,0,0,0,0,0,0,0,0,9,151,0,0,0,0,0,0,0,0,0,0,0,0,9,151,160
261,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Islamia College of Enginering and Technology for Women (Id: C-25920)",0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,679,679
262,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Modern College of Education (Id: C-25919)",0,0,0,0,0,0,0,0,0,0,22,78,0,0,0,0,0,0,0,0,0,0,0,0,22,78,100
263,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Nidhi College of Education (Id: C-25917)",0,0,0,0,0,0,0,0,0,0,47,53,0,0,0,0,0,0,0,0,0,0,0,0,47,53,100
264,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Aryan College of Hotel Management (Id: C-25916)",0,0,0,0,0,0,0,0,70,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,70,1,71
265,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Shardha Degree College for Women (Id: C-25914)",0,0,49,296,0,701,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,997,1046
266,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Indira Priyadarshini Govt. Degree College for Women (Id: C-25913)",0,396,0,63,0,959,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,1418
267,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Indian Institute of Hotel management and Culinery Arts (Id: C-25911)",0,0,0,0,0,0,0,0,279,8,0,0,0,0,279,0,0,0,0,0,0,0,0,0,279,8,287
268,Telangana,"Osmania University, Hyderabad (Id: U-0027)","V.V. College (AN) (Id: C-25905)",85,6,0,0,0,31,185,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,37,307
269,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St.Pious X Degree and P.G College for Women (Id: C-25903)",0,69,0,616,0,404,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,1089
270,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Rani Rudrama Devi Degree and P.G College (Id: C-25902)",0,0,29,22,0,18,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,40,101
271,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shadan Institute of Management Studies for Gilrs (Id: C-25901)",0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265
272,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Srinivasa Degree College (Narayankhed) (Id: C-25900)",174,37,170,132,0,35,141,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,204,689
273,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Saketa Degree College (Id: C-25898)",0,0,195,9,0,26,375,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,35,605
274,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Pratibha Degree College (Id: C-25897)",50,53,122,223,0,160,46,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,436,654
275,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Musheerabad Degree College for Women (Id: C-25896)",0,0,0,0,0,139,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139
276,Telangana,"Osmania University, Hyderabad (Id: U-0027)","College of Teacher Education, AMS (Id: C-25895)",0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170
277,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Badruka College PG Centre (Id: C-25894)",0,0,0,0,0,33,55,33,72,63,0,0,0,0,72,0,0,0,0,0,0,0,0,0,127,96,223
278,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Anuradha Memorial Degree College (Id: C-25893)",177,30,92,151,0,38,80,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,219,568
279,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Nooria Arabia College (Id: C-25892)",97,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,123,220
280,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Viveka Vardhini Degree College (Id: C-25891)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Govt. Degree College (Chavella) (Id: C-25890)",144,42,18,35,0,26,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,103,313
282,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Venkateshwara Commerce Degree College (Id: C-25888)",0,0,0,0,0,50,59,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,50,109
283,Telangana,"Osmania University, Hyderabad (Id: U-0027)","G. Pulla Reddy Degree and P.G College (Id: C-25887)",0,0,268,84,0,78,464,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,162,894
284,Telangana,"Osmania University, Hyderabad (Id: U-0027)","P.G. College, Siddipet (Id: C-25885)",0,0,0,0,2,0,0,0,55,30,0,0,0,0,55,0,0,0,0,0,0,0,0,0,57,42,99
285,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Adarsha Degree College (Id: C-25884)",238,108,177,120,0,82,152,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,310,877
286,Telangana,"Osmania University, Hyderabad (Id: U-0027)","P.G. College, Secunderabad (Id: C-25883)",440,118,327,66,218,125,429,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,355,1769
287,Telangana,"Osmania University, Hyderabad (Id: U-0027)","C.S.I. Institute of P.G. Studies (Id: C-25882)",0,0,0,0,0,0,0,0,225,123,0,0,0,0,225,0,0,0,0,0,0,0,0,0,225,123,348
288,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Little Flower Degree College (Id: C-25881)",17,9,132,54,0,48,231,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,111,491
289,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Pragathi Mahavidyalaya Degree College (Id: C-25880)",0,0,389,70,26,312,1120,312,116,55,0,0,0,0,116,0,0,0,0,0,0,0,0,0,1651,466,2117
290,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. Pious X P.G (M.B.A) College for Women (Id: C-25879)",0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,211
291,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vivekananda College of Education (Id: C-25878)",0,0,0,0,0,0,0,0,0,0,51,49,0,0,0,0,0,0,0,0,0,0,0,0,51,49,100
292,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Einstein College of Education (Id: C-25876)",0,0,0,0,0,0,0,0,0,0,64,34,0,0,0,0,0,0,0,0,0,0,0,0,64,34,98
293,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Siddharatha College of Education (Id: C-25874)",0,0,0,0,0,0,0,0,0,0,45,55,0,0,0,0,0,0,0,0,0,0,0,0,45,55,100
294,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vanitha Degree College for Women (Id: C-25873)",0,0,0,116,0,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,237
295,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Kingston P.G. College (Id: C-25872)",0,0,0,0,0,0,0,0,167,39,0,0,0,0,167,0,0,0,0,0,0,0,0,0,167,39,206
296,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Arunodaya Degree College (Id: C-25871)",0,0,79,48,0,175,218,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,223,520
297,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Karuna P.G College of Computers Applications (Id: C-25870)",0,0,0,0,0,0,0,0,76,28,0,0,0,0,76,0,0,0,0,0,0,0,0,0,76,28,104
298,Telangana,"Osmania University, Hyderabad (Id: U-0027)","S.R.M. College of Education (Id: C-25869)",0,0,0,0,0,0,0,0,0,0,29,71,0,0,0,0,0,0,0,0,0,0,0,0,29,71,100
299,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. George Degree College for Women (Id: C-25868)",0,0,0,0,0,442,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,442
300,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sindu Degree College (Id: C-25867)",26,52,51,78,0,43,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,173,311
301,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Ram Degree College (Id: C-25866)",0,0,1,3,0,45,77,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,48,126
302,Telangana,"Osmania University, Hyderabad (Id: U-0027)","IITM Degree College (Id: C-25865)",0,0,0,0,36,299,168,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,361,565
303,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vani Degree College for Women (Id: C-25864)",0,0,0,0,0,527,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,527
304,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Govt. City College (Id: C-25863)",329,24,753,86,0,62,483,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,172,1737
305,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Karuna P.G. College of Business Management (Id: C-25862)",0,0,0,0,0,0,0,0,97,24,0,0,0,0,97,0,0,0,0,0,0,0,0,0,97,24,121
306,Telangana,"Osmania University, Hyderabad (Id: U-0027)","New Silver Jubilee Degree College (Id: C-25861)",0,0,0,0,0,48,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,48,92
307,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Malla Reddy Institute of Management (Id: C-25860)",0,0,0,0,0,0,0,0,308,103,0,0,0,0,308,0,0,0,0,0,0,0,0,0,308,103,411
308,Telangana,"Osmania University, Hyderabad (Id: U-0027)","S.D Signodia College of Arts, Commerce and P.G Centre (Id: C-25859)",0,0,0,0,0,8,405,8,53,23,0,0,0,0,53,0,0,0,0,0,0,0,0,0,458,31,489
309,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Mahatma Gandhi College of Law (Id: C-25858)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,463,0,0,829,463,1292
310,Telangana,"Osmania University, Hyderabad (Id: U-0027)","AES College of Education (Id: C-25856)",0,0,0,0,0,0,0,0,0,0,7,93,0,0,0,0,0,0,0,0,0,0,0,0,7,93,100
311,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Indu Institute of Management (Id: C-25854)",0,0,0,0,0,0,0,0,180,66,0,0,0,0,180,0,0,0,0,0,0,0,0,0,180,66,246
312,Telangana,"Osmania University, Hyderabad (Id: U-0027)","HRD Degree and P.G College (Id: C-25853)",0,0,277,135,0,120,611,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888,255,1143
313,Telangana,"Osmania University, Hyderabad (Id: U-0027)","S.V Degree College (Id: C-25852)",0,0,52,79,0,83,93,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,162,307
314,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Sai Degree College (Id: C-25851)",118,21,64,100,0,38,65,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,159,406
315,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Marwadi Siksha Samithi Law College (Id: C-25850)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,32,0,0,239,32,271
316,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Jagruthi Degree College (Narayanguda) (Id: C-25849)",0,0,933,503,29,434,1108,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,955,3025
317,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Auroras Management and Research Institute (Id: C-25847)",0,0,0,0,104,0,0,0,289,171,0,0,0,0,289,0,0,0,0,0,0,0,0,0,393,209,602
318,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Govt. Degree College for Women (Hussainialam) (Id: C-25846)",0,447,0,146,0,396,0,396,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,1004
319,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Govt. Degree College (Narayankhed) (Id: C-25844)",149,65,153,115,0,37,106,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,217,625
320,Telangana,"Osmania University, Hyderabad (Id: U-0027)","ASP Oriental College (Id: C-25843)",77,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,47,124
321,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sunshine College of Education (Id: C-25842)",0,0,0,0,0,0,0,0,0,0,38,55,0,0,0,0,0,0,0,0,0,0,0,0,38,55,93
322,Telangana,"Osmania University, Hyderabad (Id: U-0027)","RadheKrishna Women's College (Id: C-25841)",0,0,0,0,0,316,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,316
323,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Prathibha Degree College (Vikarabad) (Id: C-25840)",76,42,51,41,0,23,49,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,106,282
324,Telangana,"Osmania University, Hyderabad (Id: U-0027)","K.R.R Institute of Information Technology (Id: C-25838)",0,0,0,0,0,0,0,0,6,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,8,14
325,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Aliens Degree College (Id: C-25837)",0,0,31,25,0,133,120,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,158,309
326,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Lalitha College of Education (Id: C-25836)",0,0,0,0,0,0,0,0,0,0,38,62,0,0,0,0,0,0,0,0,0,0,0,0,38,62,100
327,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Dharmavanth Degree College (Id: C-25835)",0,0,57,42,0,8,207,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,50,314
328,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Indu College of Education (Id: C-25834)",0,0,0,0,0,0,0,0,0,0,29,71,0,0,0,0,0,0,0,0,0,0,0,0,29,71,100
329,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Islamia Degree College (Id: C-25833)",0,100,21,276,0,274,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,650,671
330,Telangana,"Osmania University, Hyderabad (Id: U-0027)","K.V. Ranga Reddy Degree College for Women (Id: C-25832)",0,0,3,224,0,169,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,393,396
331,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Moghul College of Business Management (Id: C-25831)",0,0,0,0,0,0,0,0,126,52,0,0,0,0,126,0,0,0,0,0,0,0,0,0,126,52,178
332,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Panineeya Mahavidyala College of Education (Id: C-25830)",0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150
333,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Mesco Degree College (Id: C-25829)",0,0,0,0,0,42,153,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,42,195
334,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Institute of Computers and Business Management (Id: C-25828)",0,0,0,0,0,0,0,0,27,14,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,14,41
335,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Rishi Degree College (Id: C-25827)",0,0,0,0,0,178,223,178,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,231,178,409
336,Telangana,"Osmania University, Hyderabad (Id: U-0027)","OGA and Exhibhition Society College of Education (Id: C-25825)",0,0,0,0,0,0,0,0,0,0,57,35,0,0,0,0,0,0,0,0,0,0,0,0,57,35,92
337,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Govt. Degree College (Patancheru) (Id: C-25824)",43,25,35,55,0,41,47,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,121,246
338,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Govt. College of Physical Education (Id: C-25823)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,39,26,65
339,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sarojini Naidu (S.N) Vanitha Maha Vidhyalaya Degree College for Women (Id: C-25822)",0,224,0,987,0,909,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,2120
340,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Regency College of Hotel Management (Id: C-25821)",0,0,0,0,0,0,0,0,140,21,0,0,0,0,140,0,0,0,0,0,0,0,0,0,140,21,161
341,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Stannley College of Engineering and Technology for Women (Id: C-25820)",0,0,0,0,0,0,0,0,0,103,0,0,0,1319,0,0,0,0,0,0,0,0,0,0,0,1422,1422
342,Telangana,"Osmania University, Hyderabad (Id: U-0027)","MNR Teacher Education College (Id: C-25818)",0,0,0,0,0,0,0,0,0,0,65,84,0,0,0,0,0,0,0,0,0,0,0,0,65,84,149
343,Telangana,"Osmania University, Hyderabad (Id: U-0027)","COGNIZANT Degree College of Commerce and Science (Id: C-25816)",0,0,0,0,0,93,369,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,93,462
344,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shahjahan College of Business Management (Id: C-25815)",0,0,0,0,0,0,0,0,50,18,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,18,68
345,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Aurora's Management Research Academy (Id: C-25814)",0,0,0,0,134,0,0,0,339,151,0,0,0,0,339,0,0,0,0,0,0,0,0,0,473,195,668
346,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Bharat Degree College for Women (Id: C-25813)",0,0,0,82,0,262,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344
347,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Suprabath College of Education (Id: C-25812)",0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,0,0,0,0,0,0,0,0,39,61,100
348,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St.Marys College of Education (Id: C-25810)",0,0,0,0,0,0,0,0,0,0,27,60,0,0,0,0,0,0,0,0,0,0,0,0,27,60,87
349,Telangana,"Osmania University, Hyderabad (Id: U-0027)","New Adarsh Degree College (Id: C-25809)",86,56,19,9,0,67,97,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,132,334
350,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. Anns Degree College for Women (Malkajgiri) (Id: C-25808)",0,0,0,0,0,356,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,435
351,Telangana,"Osmania University, Hyderabad (Id: U-0027)","TKR Institute of Management and Science (Id: C-25807)",0,0,0,0,0,0,0,0,268,111,0,0,0,0,268,0,0,0,0,0,0,0,0,0,268,111,379
352,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Aurobindo College of Business Management (Id: C-25806)",0,0,0,0,0,0,0,0,236,36,0,0,0,0,236,0,0,0,0,0,0,0,0,0,236,36,272
353,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sai Teja Degree College (Id: C-25804)",3,5,4,13,0,49,43,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,67,117
354,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Jagruthi Degree College (Shankarpally) (Id: C-25803)",18,55,0,0,0,41,57,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,96,171
355,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Leo Academy of Hospitality and Tourism Management (Id: C-25802)",0,0,0,0,0,0,0,0,68,7,0,0,0,0,68,0,0,0,0,0,0,0,0,0,68,7,75
356,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Noble College of Education (Id: C-25798)",0,0,0,0,0,0,0,0,0,0,46,54,0,0,0,0,0,0,0,0,0,0,0,0,46,54,100
357,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Ashritha Womens Degree College (Id: C-25796)",0,115,0,238,0,250,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,603
358,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sai Sudhir Degree College (Id: C-25795)",0,0,324,255,0,226,271,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,481,1076
359,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Royal Degree College (Rural Co-Education) (Id: C-25794)",117,11,95,95,0,13,82,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,119,413
360,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Holy Trinity College of Education (Id: C-25793)",0,0,0,0,0,0,0,0,0,0,44,54,0,0,0,0,0,0,0,0,0,0,0,0,44,54,98
361,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. Judes College of Education (Id: C-25792)",0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92
362,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Pragathi Degree College for Women (Id: C-25791)",0,0,0,474,0,264,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,738
363,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. Alphonsa College of Education (Id: C-25790)",0,0,0,0,0,0,0,0,0,0,42,115,0,0,0,0,0,0,0,0,0,0,0,0,42,115,157
364,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Aurora's School of Computer Science and Research (Id: C-25789)",0,0,0,0,0,0,0,0,14,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,3,17
365,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. Anns Degree College for Women (Mehdipatnam) (Id: C-25788)",0,328,0,1484,0,893,0,893,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,3013
366,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sneha Degree College (Id: C-25787)",250,134,194,318,0,204,242,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,656,1342
367,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Unique Degree College for Women (Id: C-25786)",0,16,0,0,0,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72
368,Telangana,"Osmania University, Hyderabad (Id: U-0027)","MNR Degree College (Id: C-25785)",53,22,360,195,0,90,325,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,307,1045
369,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St.Xaviers P.G College (Gopanpally) (Id: C-25783)",0,0,0,0,0,0,0,0,234,131,0,0,0,0,234,0,0,0,0,0,0,0,0,0,234,131,365
370,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Princeton College of Education (Id: C-25781)",0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,0,0,0,0,0,0,0,0,39,61,100
371,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Holy Cross Degree College for Women (Id: C-25780)",0,0,0,362,0,276,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,638
372,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shahnaz College of Education (Id: C-25779)",0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,0,0,0,0,0,0,0,0,39,61,100
373,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Princess Shehkar Degree College for Women (Id: C-25778)",0,273,0,123,0,573,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,969
374,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vignan Degree College (Shamshabad) (Id: C-25777)",0,0,54,21,0,75,224,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,96,374
375,Telangana,"Osmania University, Hyderabad (Id: U-0027)","RBVRR Institute of Technology (Id: C-25775)",0,0,0,0,66,0,0,0,76,41,0,0,0,0,76,0,0,0,0,0,0,0,0,0,142,66,208
376,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Bright Institute of Management (Id: C-25774)",0,0,0,0,0,0,0,0,142,53,0,0,0,0,142,0,0,0,0,0,0,0,0,0,142,53,195
377,Telangana,"Osmania University, Hyderabad (Id: U-0027)","David Memorial Degree College (Id: C-25773)",0,0,24,20,0,31,28,31,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,64,51,115
378,Telangana,"Osmania University, Hyderabad (Id: U-0027)","SR College of Teacher Education (Id: C-25772)",0,0,0,0,0,0,0,0,0,0,36,61,0,0,0,0,0,0,0,0,0,0,0,0,36,61,97
379,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Maruthi Degree College (Id: C-25771)",11,18,18,19,0,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,85
380,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Deccan College of Education (Id: C-25770)",0,0,0,0,0,0,0,0,0,0,73,27,0,0,0,0,0,0,0,0,0,0,0,0,73,27,100
381,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Syo Narayan Ramcharan Patwari P.G College of Commerce (Id: C-25768)",0,0,0,0,0,2,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,25
382,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Don Bosco Degree College (Id: C-25767)",0,0,36,17,0,53,128,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,70,234
383,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. Mary's College of Education (Id: C-25766)",0,0,0,0,0,0,0,0,0,0,47,51,0,0,0,0,0,0,0,0,0,0,0,0,47,51,98
384,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Nehru Memorial Govt. Degree College (Id: C-25765)",256,68,214,150,0,81,239,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,299,1008
