"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
859,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Vikas Degree College (Id: C-30293)",0,0,50,24,0,43,99,43,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,154,67,221
860,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Sri Varadaraja PG College (Id: C-30294)",0,0,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,67
861,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Sri Narayanadri College of Education (Id: C-30297)",0,0,0,0,0,0,0,0,0,0,39,61,0,0,0,0,0,0,0,0,0,0,0,0,39,61,100
862,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Mahammod College of Education (Id: C-30300)",0,0,0,0,0,0,0,0,0,0,48,46,0,0,0,0,0,0,0,0,0,0,0,0,48,46,94
863,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Govt. Degree College, Mydukur. (Id: C-30302)",4,12,10,41,0,20,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,73,104
864,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Al-habeeba Degree college for Women (Id: C-30304)",0,41,0,74,0,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200
865,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Residency College of Education (Id: C-30305)",0,0,0,0,0,0,0,0,0,0,45,55,0,0,0,0,0,0,0,0,0,0,0,0,45,55,100
866,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","SSR College of Education for Women (Id: C-30306)",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
867,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Zion College of Physical Education (Id: C-30307)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,72,201,72,273
868,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Geethanjali Degree College (Id: C-30308)",0,0,24,50,0,65,112,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,115,251
869,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Palakondraya Degree College (Id: C-30310)",0,0,13,12,0,44,85,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,56,154
870,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Penubala College of Education (Id: C-30311)",0,0,0,0,0,0,0,0,0,0,60,37,0,0,0,0,0,0,0,0,0,0,0,0,60,37,97
871,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Sarada College of Education (Id: C-30313)",0,0,0,0,0,0,0,0,0,0,46,54,0,0,0,0,0,0,0,0,0,0,0,0,46,54,100
872,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Sri Rajeswari College of Education (Id: C-30314)",0,0,0,0,0,0,0,0,0,0,44,56,0,0,0,0,0,0,0,0,0,0,0,0,44,56,100
873,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Sri Venkateswara College of Education (Id: C-30316)",0,0,0,0,0,0,0,0,0,0,46,54,0,0,0,0,0,0,0,0,0,0,0,0,46,54,100
874,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","St. Claret College, Ziro (Id: C-16288)",189,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,323,512
875,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Hills College of Teacher's Education, Naharlagun (Id: C-16289)",0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,20,80,100
876,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Loyola Degree College (Id: C-30260)",105,110,336,657,0,339,281,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,1106,1828
