id,survey_year,state,college_institution,address_line1,address_line2,city,district,pin_code,website,area_in_acre,construct_in_sqmt,year_of_establishment,affiliat_university,other_affiliated_university_id,statutory_body_id,other_statutory_body,year_of_affiliation,location,latitude,longitude,type,autonomous,has_diploma_courses,management,specialized,evening,speciality,other_speciality,girl_exclusive,staff_quarter_available,non_teaching_staff,teaching_staff,total,student_hostel_available,hostel_count
7206,2015,Gujarat,"Smt. K.B. Parekh B.C.A. College","Parekh college campus, Mota Jadra Road.","N/R Telephone Exchange","Mahuva-364 290",Bhavnagar,364290,www.smtkbpccs.edu.in,5.564,571.95,2000,"Maharaja Krishnakumarsinhji Bhavnagar University",268,1,NA,2000,U,21.0884527,71.7744962,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Computer Application",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
32,2015,Gujarat,"Christ Polytechnic Institute, Rajkot 610","Christ Campus, ""Vidya Niketan""","Nr. Saurashtra University,",Rajkot,Rajkot,360005,www.christpolytechnicrajkot.edu.in,5,9043,2005,"Gujarat Technological University, Ahmedbabd",NA,6,NA,2008,R,22.220001,70.700001,"Affiliated College",FALSE,TRUE,"Private Un-Aided",TRUE,FALSE,"Engineering & Technology",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
47253,2015,Gujarat,"Shri D N Institute of Computer Applications, Anand","M.B.Patel Science College Campus, Post: Anand","B/H D.N.High School , Nr. Sardar Gunj, Taluko:Anand 388001",Anand-388001,Anand,388001,www.dnica.ac.in,7.129,28852.38,2011,"Sardar Patel University, Vallabh Vidyanagar",NA,1,NA,2011,U,22.56001,72.95101,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Computer Application",NA,FALSE,FALSE,NA,NA,NA,TRUE,1
20646,2015,Karnataka,"Bangalore City College of Education, No.160, Cellakere Main Road, Kalyananagar, Bangalore 43.","No 160 Challekeri Main Road, Kalyan Nagar","Banasawadi outer ring road","Bangalore - 43",Bangalore,560043,www.bangalorecitycollege.com,1.5,3100,2005,"Bangalore University, Bangalore",NA,3,NA,2005,U,13.00254,77.64422,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,2
13927,2015,Maharashtra,"Malti Vasant Trust s KDA B.Sc. Nursing College, Andheri (W), Mumbai","C/o. Kokilaben Hospital,","Four Bungalows, Andheri (W)",Mumbai,Mumbai,400053,www.kdanursingcollege.com,1.5,2224,2008,"Maharashtra University of Health Sciences, Nashik",NA,2,NA,2009,U,NA,NA,"Affiliated College",TRUE,FALSE,"Private Un-Aided",TRUE,FALSE,Nursing,NA,TRUE,FALSE,NA,NA,NA,TRUE,1
25742,2015,Telangana,"NARAYANA Degree College",8-2-293/82/K-III/2141-III/241/1&2,"Road No. 82, Jubileehills",Hyderabad,Hyderabad,500001,www.narayanagroup.com,NA,9338,2012,"Osmania University, Hyderabad",NA,1,NA,2012,U,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
313,2015,Gujarat,"The Mandvi Education Society Institute of Business Management and Computer Studies,Mandvi,(812)Di-Surat(SFI)","Near Bus Station","At & Po. Mandvi, 394160","Mandvi, 394160",Surat,394160,www.mestech.ac.in,1.57,1961.45,2010,"Gujarat Technological University, Ahmedbabd",NA,"01,06",NA,2010,R,19.033004,72.854359,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,1
557,2015,Gujarat,"C. N. Kothari Homeopathic Medical College & Research Centre","Vilasini K. Desai Arogya Sankul, Near Vanchetna,","Kakrapar Bypass, Tadkuva,",Vyara-394650,Tapi,394650,www.cnkotharihomeocollege.org,0.452,28881.67,2000,"Veer Narmad South Gujarat University, Surat",NA,12,NA,2001,R,21.070001,73.240001,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,Medical-Homeopathy,NA,FALSE,FALSE,NA,NA,NA,TRUE,1
47925,2015,Gujarat,"THE MANDVI EDUCATION SOCIETY INSTITUTE OF COMPUTER STUDIES (563)","Near Bus Station","At & Po. Mandvi, 394160","Mandvi, 394160",Surat,394160,www.mestech.ac.in,1.57,1961.45,2012,"Gujarat Technological University, Ahmedbabd",NA,"06,01",NA,2012,R,19.033004,72.854359,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,1
5793,2015,Gujarat,"National Institute of Mass Communication and Journalism","4th floor, Shapath 1, Opp. Rajpath club","S G Road,",Ahmedabad,Ahmadabad,380015,www.nimcj.org,NA,510,2007,"Gujarat University, Ahmedabad",NA,19,"Gujarat University",2007,U,NA,NA,"Recognized Center",TRUE,TRUE,"Private Un-Aided",TRUE,FALSE,"Journalism & Mass Communication",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
