StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,CreatedDate
TRIPURA,16,DHALAI,298,439,388,45,6,2022-04-01T08:08:28.753
TRIPURA,16,GOMATI,647,513,465,47,1,2022-04-01T08:08:28.753
TRIPURA,16,KHOWAI,648,514,492,22,0,2022-04-01T08:08:28.753
TRIPURA,16,"NORTH TRIPURA",299,854,712,136,6,2022-04-01T08:08:28.753
TRIPURA,16,SEPAHIJALA,649,383,325,58,0,2022-04-01T08:08:28.753
TRIPURA,16,"SOUTH TRIPURA",297,586,519,67,0,2022-04-01T08:08:28.753
TRIPURA,16,UNAKOTI,650,447,400,47,0,2022-04-01T08:08:28.753
TRIPURA,16,"WEST TRIPURA",296,2915,2311,587,17,2022-04-01T08:08:28.753
MEGHALAYA,17,"EAST GARO HILLS",301,81,79,2,0,2022-04-01T08:08:28.990
MEGHALAYA,17,"EAST JAINTIA HILLS",640,41,33,8,0,2022-04-01T08:08:28.990
MEGHALAYA,17,"EAST KHASI HILLS",305,1006,838,157,11,2022-04-01T08:08:28.990
MEGHALAYA,17,"NORTH GARO HILLS",641,144,143,1,0,2022-04-01T08:08:28.990
MEGHALAYA,17,"RI BHOI",304,222,157,61,4,2022-04-01T08:08:28.990
MEGHALAYA,17,"SOUTH GARO HILLS",302,17,15,2,0,2022-04-01T08:08:28.990
MEGHALAYA,17,"SOUTH WEST  GARO HILLS",642,57,55,2,0,2022-04-01T08:08:28.990
MEGHALAYA,17,"SOUTH WEST KHASI HILLS",643,67,64,3,0,2022-04-01T08:08:28.990
MEGHALAYA,17,"WEST GARO HILLS",300,223,206,16,1,2022-04-01T08:08:28.990
MEGHALAYA,17,"WEST JAINTIA HILLS",306,361,342,18,1,2022-04-01T08:08:28.990
MEGHALAYA,17,"WEST KHASI HILLS",303,195,185,10,0,2022-04-01T08:08:28.990
ASSAM,18,BAKSA,651,385,361,24,0,2022-04-01T08:08:29.177
ASSAM,18,BARPETA,311,1273,1165,107,1,2022-04-01T08:08:29.177
ASSAM,18,Biswanath,725,73,59,11,3,2022-04-01T08:08:29.177
ASSAM,18,BONGAIGAON,310,520,411,101,8,2022-04-01T08:08:29.177
ASSAM,18,CACHAR,327,1087,893,182,12,2022-04-01T08:08:29.177
ASSAM,18,CHIRANG,652,456,395,54,7,2022-04-01T08:08:29.177
ASSAM,18,DARRANG,314,798,738,58,2,2022-04-01T08:08:29.177
ASSAM,18,DHEMAJI,653,592,492,93,7,2022-04-01T08:08:29.177
ASSAM,18,DHUBRI,308,832,779,48,5,2022-04-01T08:08:29.177
ASSAM,18,DIBRUGARH,321,1298,756,520,22,2022-04-01T08:08:29.177
ASSAM,18,"DIMA HASAO",654,83,69,13,1,2022-04-01T08:08:29.177
ASSAM,18,GOALPARA,309,513,457,53,3,2022-04-01T08:08:29.177
ASSAM,18,GOLAGHAT,324,1011,776,231,4,2022-04-01T08:08:29.177
ASSAM,18,HAILAKANDI,329,295,260,31,4,2022-04-01T08:08:29.177
ASSAM,18,HOJAI,727,1,1,0,0,2022-04-01T08:08:29.177
ASSAM,18,JORHAT,323,651,494,141,16,2022-04-01T08:08:29.177
ASSAM,18,KAMRUP,312,2166,1615,486,65,2022-04-01T08:08:29.177
ASSAM,18,"KAMRUP METRO",319,5724,4014,1586,124,2022-04-01T08:08:29.177
ASSAM,18,KARBI-ANGELONG,325,424,361,59,4,2022-04-01T08:08:29.177
ASSAM,18,KARIMGANJ,328,462,410,52,0,2022-04-01T08:08:29.177
ASSAM,18,KOKRAJHAR,307,440,303,134,3,2022-04-01T08:08:29.177
ASSAM,18,LAKHIMPUR,318,765,646,114,5,2022-04-01T08:08:29.177
ASSAM,18,MAJULI,728,9,9,0,0,2022-04-01T08:08:29.177
ASSAM,18,MARIGAON,315,469,418,47,4,2022-04-01T08:08:29.177
ASSAM,18,NAGAON,316,2625,2356,242,27,2022-04-01T08:08:29.177
ASSAM,18,NALBARI,313,705,656,48,1,2022-04-01T08:08:29.177
ASSAM,18,SIVASAGAR,322,789,515,263,11,2022-04-01T08:08:29.177
ASSAM,18,SONITPUR,317,1347,1027,295,25,2022-04-01T08:08:29.177
ASSAM,18,TINSUKIA,320,1215,933,268,14,2022-04-01T08:08:29.177
ASSAM,18,UDALGURI,326,441,377,61,3,2022-04-01T08:08:29.177
ASSAM,18,"WEST KARBI ANGLONG",730,1,0,1,0,2022-04-01T08:08:29.177
"WEST BENGAL",19,ALIPURDUAR,638,7746,7463,261,22,2022-04-01T08:08:29.520
"WEST BENGAL",19,BANKURA,342,5765,5035,711,19,2022-04-01T08:08:29.520
"WEST BENGAL",19,BIRBHUM,337,16370,15764,571,35,2022-04-01T08:08:29.520
"WEST BENGAL",19,COOCHBEHAR,332,8146,7761,372,13,2022-04-01T08:08:29.520
"WEST BENGAL",19,"DAKSHIN DINAJPUR",334,8274,8048,212,14,2022-04-01T08:08:29.520
"WEST BENGAL",19,DARJEELING,330,4823,3884,907,32,2022-04-01T08:08:29.520
"WEST BENGAL",19,"EAST MEDINIPUR",344,6869,5733,1090,46,2022-04-01T08:08:29.520
"WEST BENGAL",19,HOOGHLY,341,11742,10101,1546,95,2022-04-01T08:08:29.520
"WEST BENGAL",19,HOWRAH,345,17922,14795,2992,135,2022-04-01T08:08:29.520
"WEST BENGAL",19,JALPAIGURI,331,4791,3969,776,46,2022-04-01T08:08:29.520
"WEST BENGAL",19,Jhargram,732,267,227,39,1,2022-04-01T08:08:29.520
"WEST BENGAL",19,KALIMPONG,733,181,165,16,0,2022-04-01T08:08:29.520
"WEST BENGAL",19,KOLKOTA,346,41232,30895,9533,804,2022-04-01T08:08:29.520
"WEST BENGAL",19,MALDA,335,7759,6979,764,16,2022-04-01T08:08:29.520
"WEST BENGAL",19,MURSHIDABAD,336,9955,8458,1454,43,2022-04-01T08:08:29.520
"WEST BENGAL",19,NADIA,339,8623,7674,927,22,2022-04-01T08:08:29.520
"WEST BENGAL",19,"NORTH 24 PRAGANAS",340,31291,26908,4220,163,2022-04-01T08:08:29.520
"WEST BENGAL",19,"PASCHIM BARDHAMAN",734,4580,3327,1176,77,2022-04-01T08:08:29.520
"WEST BENGAL",19,"PURBA BARDHAMAN",338,30098,28189,1833,76,2022-04-01T08:08:29.520
"WEST BENGAL",19,PURULIA,343,3620,3209,405,6,2022-04-01T08:08:29.520
"WEST BENGAL",19,"SOUTH 24 PRAGANAS",347,27952,25625,2240,87,2022-04-01T08:08:29.520
"WEST BENGAL",19,"UTTAR DINAJPUR",639,2914,2502,387,25,2022-04-01T08:08:29.520
"WEST BENGAL",19,"WEST MEDINIPUR",333,8725,7854,824,47,2022-04-01T08:08:29.520
JHARKHAND,20,"BOKARO ",348,14856,12907,1908,41,2022-04-01T08:08:31.113
JHARKHAND,20,CHATRA,349,2499,2130,361,8,2022-04-01T08:08:31.113
JHARKHAND,20,DEOGHAR,350,4871,4512,341,18,2022-04-01T08:08:31.113
JHARKHAND,20,DHANBAD,351,15245,13579,1630,36,2022-04-01T08:08:31.113
JHARKHAND,20,DUMKA,352,3368,3233,130,5,2022-04-01T08:08:31.113
JHARKHAND,20,"EAST SINGHBHUM",353,27706,24418,3199,89,2022-04-01T08:08:31.113
JHARKHAND,20,"GARHWA ",354,8566,8419,144,3,2022-04-01T08:08:31.113
JHARKHAND,20,GIRIDIH,355,11773,11141,612,20,2022-04-01T08:08:31.113
JHARKHAND,20,GODDA,356,4777,4602,174,1,2022-04-01T08:08:31.113
JHARKHAND,20,"GUMLA ",357,2143,2050,91,2,2022-04-01T08:08:31.113
JHARKHAND,20,"HAZARIBAG ",358,12151,10579,1552,20,2022-04-01T08:08:31.113
JHARKHAND,20,JAMTARA,359,968,910,56,2,2022-04-01T08:08:31.113
JHARKHAND,20,"KHUNTI ",360,2628,2554,73,1,2022-04-01T08:08:31.113
JHARKHAND,20,"KODERMA ",361,3038,2561,461,16,2022-04-01T08:08:31.113
JHARKHAND,20,LATEHAR,362,809,675,132,2,2022-04-01T08:08:31.113
JHARKHAND,20,"LOHARDAGA ",363,2167,2036,130,1,2022-04-01T08:08:31.113
JHARKHAND,20,"PAKUR ",364,1927,1757,165,5,2022-04-01T08:08:31.113
JHARKHAND,20,PALAMU,365,4761,4434,315,12,2022-04-01T08:08:31.113
JHARKHAND,20,"RAMGARH ",619,5871,5263,590,18,2022-04-01T08:08:31.113
JHARKHAND,20,"RANCHI ",620,25394,21921,3357,116,2022-04-01T08:08:31.113
JHARKHAND,20,SAHEBGANJ,621,2335,1924,402,9,2022-04-01T08:08:31.113
JHARKHAND,20,"SERAIKELA-KHARSAWAN  ",622,8241,7059,1106,76,2022-04-01T08:08:31.113
JHARKHAND,20,"SIMDEGA ",623,562,527,33,2,2022-04-01T08:08:31.113
JHARKHAND,20,"WEST SINGHBHUM",624,2922,2528,380,14,2022-04-01T08:08:31.113
ODISHA,21,ANGUL,15,3628,2255,1350,23,2022-04-01T08:08:32.240
ODISHA,21,BALANGIR,24,2670,2259,397,14,2022-04-01T08:08:32.240
ODISHA,21,BALESHWAR,8,27170,26337,797,36,2022-04-01T08:08:32.240
ODISHA,21,BARGARH,1,2136,1710,411,15,2022-04-01T08:08:32.240
ODISHA,21,BHADRAK,9,5402,5037,355,10,2022-04-01T08:08:32.240
ODISHA,21,BOUDH,22,2527,2444,78,5,2022-04-01T08:08:32.240
ODISHA,21,CUTTACK,12,15009,12869,2059,81,2022-04-01T08:08:32.240
ODISHA,21,DEOGARH,4,273,206,65,2,2022-04-01T08:08:32.240
ODISHA,21,DHENKANAL,14,2059,1602,450,7,2022-04-01T08:08:32.240
ODISHA,21,GAJAPATI,20,860,742,117,1,2022-04-01T08:08:32.240
ODISHA,21,GANJAM,19,11054,9746,1279,29,2022-04-01T08:08:32.240
ODISHA,21,JAGATSINGHPUR,11,2404,1505,889,10,2022-04-01T08:08:32.240
ODISHA,21,JAJAPUR,13,3926,3029,868,29,2022-04-01T08:08:32.240
ODISHA,21,JHARSUGUDA,2,1869,1306,525,38,2022-04-01T08:08:32.240
ODISHA,21,KALAHANDI,26,1467,1137,319,11,2022-04-01T08:08:32.240
ODISHA,21,KANDHAMAL,21,1055,945,109,1,2022-04-01T08:08:32.240
ODISHA,21,KENDRAPARA,10,1911,1598,310,3,2022-04-01T08:08:32.240
ODISHA,21,KENDUJHAR,6,2859,1977,831,51,2022-04-01T08:08:32.240
ODISHA,21,KHORDHA,17,19807,14890,4680,237,2022-04-01T08:08:32.240
ODISHA,21,KORAPUT,29,1827,1413,405,9,2022-04-01T08:08:32.240
ODISHA,21,"MALKANGIRI  ",30,624,584,36,4,2022-04-01T08:08:32.240
