state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
HARYANA,6,REWARI,72,26,26864,445,27335
HARYANA,6,SONIPAT,75,23,46554,568,47145
"HIMACHAL PRADESH",2,KINNAUR,19,0,2762,9,2771
JHARKHAND,20,"BOKARO ",322,14,43676,299,43989
JHARKHAND,20,DEOGHAR,324,10,24855,165,25030
JHARKHAND,20,DUMKA,326,2,14048,89,14139
JHARKHAND,20,"EAST SINGHBHUM",327,36,58643,731,59410
JHARKHAND,20,PALAMU,338,3,21012,145,21160
JHARKHAND,20,"RAMGARH ",607,5,22892,159,23056
KARNATAKA,29,BAGALKOT,524,6,36374,262,36642
KARNATAKA,29,CHIKBALLAPUR,630,7,30666,229,30902
KARNATAKA,29,"DAKSHIN KANNAD",534,43,70561,836,71440
KARNATAKA,29,RAICHUR,546,13,36404,450,36867
KARNATAKA,29,SHIVAMOGGA,547,13,49928,480,50421
KARNATAKA,29,UDUPI,549,13,42127,349,42489
KERALA,32,MALAPPURAM,562,26,64920,779,65725
"MADHYA PRADESH",23,ANUPPUR,390,2,10488,45,10535
"MADHYA PRADESH",23,BARWANI,393,3,22840,120,22963
"MADHYA PRADESH",23,BETUL,394,5,29083,166,29254
"MADHYA PRADESH",23,CHHATARPUR,398,3,25137,206,25346
"MADHYA PRADESH",23,DEWAS,402,10,46354,194,46558
"MADHYA PRADESH",23,GUNA,406,9,32706,203,32918
"MADHYA PRADESH",23,KHARGONE,414,5,38440,234,38679
"MADHYA PRADESH",23,Maihar,784,2,1757,9,1768
"MADHYA PRADESH",23,Pandhurna,785,0,1672,2,1674
"MADHYA PRADESH",23,SHAHDOL,429,0,16724,106,16830
"MADHYA PRADESH",23,UMARIA,436,1,7363,36,7400
"MADHYA PRADESH",23,VIDISHA,437,5,33663,202,33870
MAHARASHTRA,27,BULDHANA,472,16,76459,395,76870
MAHARASHTRA,27,CHANDRAPUR,473,12,55981,397,56390
MAHARASHTRA,27,GONDIA,476,7,36051,267,36325
MAHARASHTRA,27,PALGHAR,665,30,156147,639,156816
MAHARASHTRA,27,RAIGAD,491,67,183161,1185,184413
MANIPUR,14,BISHNUPUR,252,0,6145,21,6166
MANIPUR,14,"IMPHAL EAST",255,1,12898,64,12963
MANIPUR,14,KAKCHING,711,0,2635,11,2646
MANIPUR,14,NONEY,714,0,362,2,364
MEGHALAYA,17,"EAST GARO HILLS",273,1,1406,6,1413
MEGHALAYA,17,"EASTERN WEST KHASI HILLS",740,0,639,1,640
MIZORAM,15,AIZAWL,261,3,14938,134,15075
MIZORAM,15,CHAMPHAI,262,0,1992,9,2001
MIZORAM,15,KOLASIB,263,0,2229,9,2238
MIZORAM,15,SERCHHIP,268,1,1278,4,1283
NAGALAND,13,MOKOKCHUNG,246,0,1934,5,1939
ODISHA,21,BHADRAK,348,5,37299,167,37471
ODISHA,21,KALAHANDI,358,6,24408,163,24577
ODISHA,21,NABARANGPUR,366,5,13326,120,13451
ODISHA,21,PURI,369,4,49701,195,49900
PUNJAB,3,"FATEHGARH SAHIB",30,74,23031,992,24097
PUNJAB,3,FAZILKA,651,7,31677,203,31887
PUNJAB,3,MANSA,37,5,20598,137,20740
PUNJAB,3,PATIALA,41,27,85300,546,85873
PUNJAB,3,"TARN TARAN",609,1,25476,87,25564
RAJASTHAN,8,Dudu,102,0,924,3,927
RAJASTHAN,8,Gangapurcity,113,0,1801,7,1808
RAJASTHAN,8,HANUMANGARH,101,7,55803,261,56071
