StateName,state_id,DistrictName,DISTRICT_ID,TotalManufacturingUnit,TotalServiceUnit,_CreatedDate
BIHAR,10,BANKA,239,19005,9804,NA
BIHAR,10,BEGUSARAI,236,8903,22466,NA
BIHAR,10,BHAGALPUR,238,11357,16183,NA
BIHAR,10,BHOJPUR,245,6372,4400,NA
BIHAR,10,BUXAR,246,5581,3749,NA
BIHAR,10,DARBHANGA,229,5738,33005,NA
BIHAR,10,GAYA,251,8292,14849,NA
BIHAR,10,GOPALGANJ,231,3458,6859,NA
BIHAR,10,JAMUI,253,9277,7453,NA
BIHAR,10,JEHANABAD,249,1725,2471,NA
BIHAR,10,"KAIMUR (BHABUA)",247,3859,3853,NA
BIHAR,10,KATIHAR,226,8789,12131,NA
BIHAR,10,KHAGARIA,237,3287,10154,NA
BIHAR,10,KISHANGANJ,224,2930,12196,NA
BIHAR,10,LAKHISARAI,241,9327,6095,NA
BIHAR,10,MADHEPURA,227,2581,6212,NA
BIHAR,10,MADHUBANI,221,18648,19784,NA
BIHAR,10,MUNGER,240,4359,6145,NA
BIHAR,10,MUZAFFARPUR,230,16498,55988,NA
BIHAR,10,NALANDA,243,9799,15120,NA
BIHAR,10,NAWADA,252,7530,5137,NA
BIHAR,10,"PASHCHIM  CHAMPARAN",217,18776,36628,NA
BIHAR,10,PATNA,244,23233,45972,NA
BIHAR,10,"PURBI  CHAMPARAN",218,15232,34675,NA
BIHAR,10,PURNIA,225,8068,21161,NA
BIHAR,10,ROHTAS,248,14187,15802,NA
BIHAR,10,SAHARSA,228,4234,14518,NA
BIHAR,10,SAMASTIPUR,235,13266,30402,NA
BIHAR,10,SARAN,233,11312,15213,NA
BIHAR,10,SHEIKHPURA,242,4168,2206,NA
BIHAR,10,SHEOHAR,219,1166,4665,NA
BIHAR,10,SITAMARHI,220,7089,32977,NA
BIHAR,10,SIWAN,232,2928,5850,NA
BIHAR,10,SUPAUL,222,3577,10423,NA
BIHAR,10,VAISHALI,234,9991,29831,NA
CHHATTISGARH,22,BALOD,673,560,2615,NA
CHHATTISGARH,22,"BALOD BAZAR",674,797,3328,NA
CHHATTISGARH,22,BALRAMPUR,677,212,383,NA
CHHATTISGARH,22,BASTAR,380,576,910,NA
CHHATTISGARH,22,BEMETARA,675,304,1292,NA
CHHATTISGARH,22,BIJAPUR,676,31,30,NA
CHHATTISGARH,22,BILASPUR,372,2293,5961,NA
CHHATTISGARH,22,DANTEWADA,381,89,247,NA
CHHATTISGARH,22,DHAMTARI,378,1263,1581,NA
CHHATTISGARH,22,DURG,375,2936,7660,NA
CHHATTISGARH,22,GARIABAND,681,328,920,NA
CHHATTISGARH,22,JANJGIR-CHAMPA,371,1143,2752,NA
CHHATTISGARH,22,JASHPUR,368,209,346,NA
CHHATTISGARH,22,KABIRDHAM,373,396,954,NA
CHHATTISGARH,22,KANKER,379,315,805,NA
CHHATTISGARH,22,KONDAGAON,678,227,574,NA
CHHATTISGARH,22,KORBA,370,835,2321,NA
CHHATTISGARH,22,KOREA,366,364,781,NA
CHHATTISGARH,22,MAHASAMUND,377,662,1538,NA
CHHATTISGARH,22,MUNGELI,679,285,553,NA
CHHATTISGARH,22,NARAYANPUR,680,55,37,NA
CHHATTISGARH,22,RAIGARH,369,944,2448,NA
CHHATTISGARH,22,RAIPUR,376,5296,12997,NA
