StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,_CreatedDate
BIHAR,10,"PURBI  CHAMPARAN",218,34675,33623,1035,17,NA
BIHAR,10,PURNIA,225,21161,20599,551,11,NA
BIHAR,10,ROHTAS,248,15802,15306,484,12,NA
BIHAR,10,SAHARSA,228,14518,14119,394,5,NA
BIHAR,10,SAMASTIPUR,235,30402,29391,991,20,NA
BIHAR,10,SARAN,233,15213,14603,597,13,NA
BIHAR,10,SHEIKHPURA,242,2206,2008,198,0,NA
BIHAR,10,SHEOHAR,219,4675,4479,191,5,NA
BIHAR,10,SITAMARHI,220,32977,32062,892,23,NA
BIHAR,10,SIWAN,232,5850,5452,389,9,NA
BIHAR,10,SUPAUL,222,10423,10099,315,9,NA
BIHAR,10,VAISHALI,234,29831,28987,832,12,NA
CHHATTISGARH,22,BALOD,673,2615,2527,87,1,NA
CHHATTISGARH,22,"BALOD BAZAR",674,3331,3128,196,7,NA
CHHATTISGARH,22,BALRAMPUR,677,383,333,49,1,NA
CHHATTISGARH,22,BASTAR,380,910,783,122,5,NA
CHHATTISGARH,22,BEMETARA,675,1292,1210,80,2,NA
CHHATTISGARH,22,BIJAPUR,676,30,27,2,1,NA
CHHATTISGARH,22,BILASPUR,372,5971,4995,870,106,NA
CHHATTISGARH,22,DANTEWADA,381,247,135,111,1,NA
CHHATTISGARH,22,DHAMTARI,378,1583,1423,153,7,NA
CHHATTISGARH,22,DURG,375,7668,6598,1025,45,NA
CHHATTISGARH,22,GARIABAND,681,922,881,40,1,NA
CHHATTISGARH,22,JANJGIR-CHAMPA,371,2757,2541,203,13,NA
CHHATTISGARH,22,JASHPUR,368,347,301,45,1,NA
CHHATTISGARH,22,KABIRDHAM,373,954,888,64,2,NA
CHHATTISGARH,22,KANKER,379,807,655,150,2,NA
CHHATTISGARH,22,KONDAGAON,678,574,514,58,2,NA
CHHATTISGARH,22,KORBA,370,2329,1699,580,50,NA
CHHATTISGARH,22,KOREA,366,782,684,98,0,NA
CHHATTISGARH,22,MAHASAMUND,377,1539,1314,216,9,NA
CHHATTISGARH,22,MUNGELI,679,554,507,46,1,NA
CHHATTISGARH,22,NARAYANPUR,680,37,30,7,0,NA
CHHATTISGARH,22,RAIGARH,369,2454,1883,544,27,NA
CHHATTISGARH,22,RAIPUR,376,13024,11076,1836,112,NA
CHHATTISGARH,22,RAJNANDAGAON,374,3207,2999,205,3,NA
CHHATTISGARH,22,SUKMA,682,20,14,6,0,NA
CHHATTISGARH,22,SURAJPUR,683,649,552,91,6,NA
CHHATTISGARH,22,SURGUJA,367,913,727,174,12,NA
GOA,30,"NORTH GOA",551,3692,2562,1065,65,NA
GOA,30,"SOUTH GOA",552,2681,1878,769,34,NA
GUJARAT,24,AHMADABAD,433,105552,92010,13041,501,NA
GUJARAT,24,AMRELI,439,1816,1503,300,13,NA
GUJARAT,24,ANAND,441,6946,6070,852,24,NA
GUJARAT,24,ARVALLI,655,540,381,141,18,NA
GUJARAT,24,"BANAS KANTHA",428,3318,2708,583,27,NA
GUJARAT,24,BHARUCH,447,8990,7319,1608,63,NA
GUJARAT,24,BHAVNAGAR,440,10002,8737,1203,62,NA
GUJARAT,24,BOTAD,656,567,470,96,1,NA
GUJARAT,24,CHHOTAUDEPUR,657,793,726,66,1,NA
GUJARAT,24,DANG,449,48,40,7,1,NA
GUJARAT,24,"DEVBHOOMI DWARKA",658,984,728,247,9,NA
GUJARAT,24,DOHAD,444,1026,866,157,3,NA
GUJARAT,24,GANDHINAGAR,432,8574,7083,1422,69,NA
GUJARAT,24,"GIR SOMNATH",659,1468,1151,301,16,NA
GUJARAT,24,JAMNAGAR,436,5794,4848,893,53,NA
GUJARAT,24,JUNAGADH,438,4033,3443,568,22,NA
GUJARAT,24,KACHCHH,427,9616,7330,2098,188,NA
GUJARAT,24,KHEDA,442,2509,2080,420,9,NA
GUJARAT,24,MAHESANA,430,4052,2986,1020,46,NA
GUJARAT,24,MAHISAGAR,670,364,311,51,2,NA
GUJARAT,24,MORBI,671,2798,2249,528,21,NA
GUJARAT,24,NARMADA,446,392,336,46,10,NA
GUJARAT,24,NAVSARI,450,4093,3545,521,27,NA
GUJARAT,24,"PANCH MAHALS",443,2018,1677,331,10,NA
GUJARAT,24,PATAN,429,1106,901,196,9,NA
GUJARAT,24,PORBANDAR,437,1438,1019,408,11,NA
GUJARAT,24,RAJKOT,435,36456,32087,4236,133,NA
GUJARAT,24,"SABAR KANTHA",431,1639,1285,328,26,NA
GUJARAT,24,SURAT,448,115696,101546,13857,293,NA
GUJARAT,24,SURENDRANAGAR,434,1660,1400,250,10,NA
GUJARAT,24,TAPI,672,1024,838,181,5,NA
GUJARAT,24,VADODARA,445,38557,33269,5084,204,NA
GUJARAT,24,VALSAD,451,10912,9079,1762,71,NA
HARYANA,6,AMBALA,89,4973,4067,884,22,NA
HARYANA,6,BHIWANI,100,2772,1988,760,24,NA
HARYANA,6,FARIDABAD,106,14084,11068,2886,130,NA
HARYANA,6,FATEHABAD,97,3723,3448,273,2,NA
HARYANA,6,GURUGRAM,105,20096,14260,5465,371,NA
