StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
"UTTAR PRADESH",9,UNNAO,172,3600,2230,338,10,1022,2022-04-01T08:30:54.043
UTTARAKHAND,5,DEHRADUN,79,8867,7477,393,129,868,2022-04-01T08:30:58.467
"WEST BENGAL",19,BIRBHUM,337,11628,8032,2539,155,902,2022-04-01T08:30:58.903
"WEST BENGAL",19,"DAKSHIN DINAJPUR",334,3955,3025,580,85,265,2022-04-01T08:30:58.903
"WEST BENGAL",19,"EAST MEDINIPUR",344,3332,2976,167,9,180,2022-04-01T08:30:58.903
"WEST BENGAL",19,"NORTH 24 PRAGANAS",340,14473,11816,1654,74,929,2022-04-01T08:30:58.903
"WEST BENGAL",19,"PASCHIM BARDHAMAN",734,2992,2696,129,23,144,2022-04-01T08:30:58.903
"WEST BENGAL",19,PURULIA,343,1451,1006,75,64,306,2022-04-01T08:30:58.903
"WEST BENGAL",19,"WEST MEDINIPUR",333,4051,3434,232,72,313,2022-04-01T08:30:58.903
"ANDAMAN AND NICOBAR ISLANDS",35,"NORTH AND MIDDLE ANDAMAN",698,455,295,2,0,158,2022-04-01T08:31:00.340
DELHI,7,CENTRAL,112,6519,5840,311,25,343,2022-04-01T08:31:01.247
DELHI,7,"NORTH EAST",109,6360,5147,370,16,827,2022-04-01T08:31:01.247
DELHI,7,WEST,113,15616,13812,711,44,1049,2022-04-01T08:31:01.247
"JAMMU AND KASHMIR",1,BADGAM,34,774,692,13,2,67,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,GANDERBAL,605,128,117,0,3,8,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,KARGIL,38,23,2,0,21,0,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,KISHTWAR,606,97,91,3,1,2,2022-04-01T08:31:02.467
"JAMMU AND KASHMIR",1,POONCH,41,774,687,1,51,35,2022-04-01T08:31:02.467
LADAKH,37,"LEH LADAKH",751,35,9,0,25,1,2022-04-01T08:31:02.717
LAKSHADWEEP,31,"LAKSHADWEEP DISTRICT",553,54,2,0,49,3,2022-04-01T08:31:02.890
"ANDHRA PRADESH",28,"EAST GODAVARI",512,13885,7022,2200,168,4495,2022-04-01T08:30:11.140
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,17428,8600,1224,278,7326,2022-04-01T08:30:11.140
"ANDHRA PRADESH",28,Y.S.R,503,33379,9594,6196,1235,16354,2022-04-01T08:30:11.140
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",631,11,3,0,8,0,2022-04-01T08:30:12.940
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",629,52,13,1,35,3,2022-04-01T08:30:12.940
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",262,65,4,0,59,2,2022-04-01T08:30:12.940
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",263,43,3,1,39,0,2022-04-01T08:30:12.940
"ARUNACHAL PRADESH",12,"WEST KAMENG",259,45,14,2,28,1,2022-04-01T08:30:12.940
ASSAM,18,Biswanath,725,47,19,1,8,19,2022-04-01T08:30:13.143
ASSAM,18,DHUBRI,308,321,264,18,0,39,2022-04-01T08:30:13.143
ASSAM,18,GOLAGHAT,324,607,318,43,30,216,2022-04-01T08:30:13.143
ASSAM,18,KOKRAJHAR,307,170,75,7,62,26,2022-04-01T08:30:13.143
ASSAM,18,LAKHIMPUR,318,343,145,19,24,155,2022-04-01T08:30:13.143
ASSAM,18,MARIGAON,315,170,107,8,11,44,2022-04-01T08:30:13.143
