StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
BIHAR,10,NALANDA,243,9799,1322,3238,471,4768,NA
BIHAR,10,NAWADA,252,7530,1505,2933,240,2852,NA
BIHAR,10,"PASHCHIM  CHAMPARAN",217,18776,3941,2570,1516,10749,NA
BIHAR,10,PATNA,244,23233,8685,2943,550,11055,NA
BIHAR,10,"PURBI  CHAMPARAN",218,15232,3355,2010,610,9257,NA
BIHAR,10,PURNIA,225,8068,1912,1029,614,4513,NA
BIHAR,10,ROHTAS,248,14187,2755,3503,568,7361,NA
BIHAR,10,SAHARSA,228,4234,1004,1343,176,1711,NA
BIHAR,10,SAMASTIPUR,235,13266,2993,2712,626,6935,NA
BIHAR,10,SARAN,233,11312,2650,1836,662,6164,NA
BIHAR,10,SHEIKHPURA,242,4168,691,1124,132,2221,NA
BIHAR,10,SHEOHAR,219,1166,424,92,125,525,NA
BIHAR,10,SITAMARHI,220,7089,1910,764,317,4098,NA
BIHAR,10,SIWAN,232,2928,1116,226,141,1445,NA
BIHAR,10,SUPAUL,222,3577,724,578,274,2001,NA
BIHAR,10,VAISHALI,234,9991,2142,2176,331,5342,NA
CHHATTISGARH,22,BALOD,673,560,195,19,38,308,NA
CHHATTISGARH,22,"BALOD BAZAR",674,797,468,80,12,237,NA
CHHATTISGARH,22,BALRAMPUR,677,212,112,6,31,63,NA
CHHATTISGARH,22,BASTAR,380,576,248,21,165,142,NA
CHHATTISGARH,22,BEMETARA,675,304,155,22,5,122,NA
CHHATTISGARH,22,BIJAPUR,676,31,8,4,9,10,NA
CHHATTISGARH,22,BILASPUR,372,2293,1359,245,69,620,NA
CHHATTISGARH,22,DANTEWADA,381,89,58,3,9,19,NA
CHHATTISGARH,22,DHAMTARI,378,1263,423,61,91,688,NA
CHHATTISGARH,22,DURG,375,2936,2313,118,17,488,NA
CHHATTISGARH,22,GARIABAND,681,328,93,19,49,167,NA
CHHATTISGARH,22,JANJGIR-CHAMPA,371,1143,466,158,32,487,NA
CHHATTISGARH,22,JASHPUR,368,209,124,8,27,50,NA
CHHATTISGARH,22,KABIRDHAM,373,396,119,25,6,246,NA
CHHATTISGARH,22,KANKER,379,315,125,8,77,105,NA
CHHATTISGARH,22,KONDAGAON,678,227,117,4,54,52,NA
CHHATTISGARH,22,KORBA,370,835,543,42,74,176,NA
CHHATTISGARH,22,KOREA,366,364,238,15,19,92,NA
CHHATTISGARH,22,MAHASAMUND,377,662,333,45,17,267,NA
CHHATTISGARH,22,MUNGELI,679,285,149,43,2,91,NA
CHHATTISGARH,22,NARAYANPUR,680,55,29,0,20,6,NA
CHHATTISGARH,22,RAIGARH,369,944,542,92,41,269,NA
CHHATTISGARH,22,RAIPUR,376,5296,4333,165,51,747,NA
CHHATTISGARH,22,RAJNANDAGAON,374,1012,634,35,29,314,NA
CHHATTISGARH,22,SUKMA,682,47,42,0,1,4,NA
CHHATTISGARH,22,SURAJPUR,683,284,184,3,15,82,NA
CHHATTISGARH,22,SURGUJA,367,798,445,20,132,201,NA
GOA,30,"NORTH GOA",551,2256,2018,16,15,207,NA
GOA,30,"SOUTH GOA",552,1646,1444,19,44,139,NA
GUJARAT,24,AHMADABAD,433,104968,92240,2865,437,9426,NA
GUJARAT,24,AMRELI,439,2188,1448,172,18,550,NA
GUJARAT,24,ANAND,441,5032,4415,78,22,517,NA
GUJARAT,24,ARVALLI,655,641,424,29,11,177,NA
GUJARAT,24,"BANAS KANTHA",428,2697,1786,91,11,809,NA
GUJARAT,24,BHARUCH,447,5971,5277,115,61,518,NA
GUJARAT,24,BHAVNAGAR,440,10797,7696,360,36,2705,NA
GUJARAT,24,BOTAD,656,1042,780,22,1,239,NA
GUJARAT,24,CHHOTAUDEPUR,657,354,272,10,41,31,NA
GUJARAT,24,DANG,449,38,11,3,15,9,NA
GUJARAT,24,"DEVBHOOMI DWARKA",658,384,242,10,3,129,NA
GUJARAT,24,DOHAD,444,646,368,26,134,118,NA
GUJARAT,24,GANDHINAGAR,432,6332,5234,204,34,860,NA
GUJARAT,24,"GIR SOMNATH",659,1167,528,105,15,519,NA
GUJARAT,24,JAMNAGAR,436,7276,6066,161,65,984,NA
GUJARAT,24,JUNAGADH,438,3034,2243,116,26,649,NA
GUJARAT,24,KACHCHH,427,5969,4733,306,18,912,NA
GUJARAT,24,KHEDA,442,2250,1910,59,9,272,NA
GUJARAT,24,MAHESANA,430,3986,3299,90,6,591,NA
GUJARAT,24,MAHISAGAR,670,188,147,7,6,28,NA
GUJARAT,24,MORBI,671,5254,4645,113,81,415,NA
GUJARAT,24,NARMADA,446,198,127,5,38,28,NA
GUJARAT,24,NAVSARI,450,3437,2767,100,157,413,NA
GUJARAT,24,"PANCH MAHALS",443,1515,1217,21,22,255,NA
GUJARAT,24,PATAN,429,1534,898,65,3,568,NA
