state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"UTTAR PRADESH",9,"GAUTAM BUDDHA NAGAR",144,457,181294,3952,185703
"UTTAR PRADESH",9,GONDA,147,14,47535,284,47833
"UTTAR PRADESH",9,HAMIRPUR,149,9,16957,139,17105
"UTTAR PRADESH",9,HARDOI,150,12,52037,324,52373
"UTTAR PRADESH",9,HATHRAS,163,18,31702,314,32034
"UTTAR PRADESH",9,JALAUN,151,3,24393,188,24584
"UTTAR PRADESH",9,"LAKHIMPUR KHERI",159,10,45332,353,45695
"UTTAR PRADESH",9,MAHOBA,165,7,14855,150,15012
"UTTAR PRADESH",9,MEERUT,169,83,137842,1342,139267
"UTTAR PRADESH",9,PRATAPGARH,174,6,46090,205,46301
"UTTAR PRADESH",9,"RAE BARELI",175,10,51823,286,52119
"UTTAR PRADESH",9,SHRAVASTI,181,1,11734,44,11779
"UTTAR PRADESH",9,SIDDHARTHNAGAR,182,3,30478,171,30652
"UTTAR PRADESH",9,SITAPUR,183,7,47492,316,47815
"UTTAR PRADESH",9,SONBHADRA,184,13,29745,272,30030
"UTTAR PRADESH",9,SULTANPUR,185,3,36314,192,36509
UTTARAKHAND,5,"PAURI GARHWAL",52,7,14668,72,14747
UTTARAKHAND,5,PITHORAGARH,53,1,11352,39,11392
UTTARAKHAND,5,"UDHAM SINGH NAGAR",56,76,79193,1206,80475
"WEST BENGAL",19,"PASCHIM BARDHAMAN",704,73,66991,903,67967
"WEST BENGAL",19,"UTTAR DINAJPUR",311,15,55550,559,56124
DELHI,7,"NEW DELHI",79,309,66281,2359,68949
DELHI,7,"SOUTH ",83,456,106059,3511,110026
"JAMMU AND KASHMIR",1,GANDERBAL,626,1,24195,39,24235
"JAMMU AND KASHMIR",1,KISHTWAR,620,0,8217,22,8239
"JAMMU AND KASHMIR",1,POONCH,10,0,11071,32,11103
"JAMMU AND KASHMIR",1,REASI,627,2,9820,48,9870
"JAMMU AND KASHMIR",1,UDHAMPUR,14,3,15884,80,15967
LAKSHADWEEP,31,"LAKSHADWEEP DISTRICT",553,0,1429,0,1429
"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",38,DAMAN,463,55,7795,368,8218
"ANDHRA PRADESH",28,Annamayya,753,4,54895,123,55022
"ANDHRA PRADESH",28,KRISHNA,510,109,103520,1966,105595
"ANDHRA PRADESH",28,Tirupati,752,16,70522,225,70763
"ANDHRA PRADESH",28,VISAKHAPATNAM,520,147,114848,1831,116826
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",233,0,312,3,315
"ARUNACHAL PRADESH",12,"PAKKE KESSANG",723,0,138,0,138
"ARUNACHAL PRADESH",12,"PAPUM PARE",237,15,8248,180,8443
"ARUNACHAL PRADESH",12,TAWANG,238,0,769,15,784
"ARUNACHAL PRADESH",12,"WEST KAMENG",242,0,1806,17,1823
"ARUNACHAL PRADESH",12,"WEST SIANG",243,0,974,19,993
ASSAM,18,BARPETA,280,19,45157,202,45378
ASSAM,18,Biswanath,705,2,18537,74,18613
ASSAM,18,CHIRANG,612,6,11503,53,11562
ASSAM,18,DHUBRI,285,8,36676,159,36843
ASSAM,18,GOALPARA,287,4,25308,131,25443
ASSAM,18,GOLAGHAT,288,2,32690,157,32849
ASSAM,18,HAILAKANDI,289,2,17773,47,17822
ASSAM,18,JORHAT,290,17,29747,275,30039
ASSAM,18,KOKRAJHAR,294,8,22512,93,22613
ASSAM,18,"SOUTH SALMARA MANCACHAR",707,1,7924,27,7952
ASSAM,18,TAMULPUR,756,0,4247,8,4255
BIHAR,10,BHOJPUR,193,11,34999,258,35268
BIHAR,10,GOPALGANJ,197,11,36993,182,37186
